id,name,bias - 1,bias - 3,bias - 5,id,Log - 1,Log - 3,Log - 5
253,Cuyahoga/Ohio,16511296,115985972,353532026,253,7.217781163,8.064405466,8.548428762
244,Philadelphia/Pennsylvania,52745855,84977616,435020991,244,7.722188337,7.929304543,8.638510213
270,Montgomery/Ohio,206539614,58541499,446957625,270,8.315003361,7.767463839,8.650266351
279,Franklin/Ohio,5581129,19078931,107441063,279,6.746722061,7.280554037,8.031170297
254,Hamilton/Ohio,617604041,12126869,378427344,254,8.790710129,7.083748686,8.57798251
295,Lake/Ohio,58950642,5563008,59705742,295,7.770488539,6.745309684,7.7760161
68,Prince William/Virginia,2435756,4593203,8101714,68,6.386633781,6.66211564,6.908576908
193,Bucks/Pennsylvania,29605408,3159033,36370338,193,7.471371051,6.499554163,7.560747337
286,Mahoning/Ohio,11759670,2400701,17941340,286,7.070395135,6.380338073,7.253854876
346,Kenton/Kentucky,1595839,2262110,1965001,346,6.202989074,6.35451372,6.293362776
334,Jefferson/Kentucky,79381716,2242283,65693260,334,7.899720483,6.350690424,7.817520814
292,Licking/Ohio,2741157,1682049,5624548,292,6.437933911,6.225838643,6.750087627
142,Kanawha/West Virginia,1383508,1508640,4139805,142,6.140981675,6.178585618,6.616979885
248,Lorain/Ohio,1929268,1461178,3003588,248,6.285392561,6.164703125,6.477640361
250,Lucas/Ohio,16997774,1459117,28416877,250,7.230392051,6.164090117,7.453576347
321,Delaware/Ohio,9821860,1186912,5009216,321,6.992193739,6.074418521,6.699769759
51,Richmond/Virginia,2375571,1113600,2108496,51,6.375768015,6.046729222,6.323972781
132,Raleigh/West Virginia,1285778,1093051,3611423,132,6.109165991,6.038640426,6.55767836
8,Fairfax/Virginia,2491160,1074839,7689879,8,6.396401622,6.031343416,6.885919506
188,Lackawanna/Pennsylvania,4292776,1073320,4283025,188,6.632738227,6.030729222,6.631750609
358,Harlan/Kentucky,1786347,1024087,3219556,358,6.251965825,6.010336853,6.507795983
202,Chester/Pennsylvania,8454929,1006271,8943675,202,6.927109965,6.002714957,6.951516009
14,Wise/Virginia,1253086,885652,3777059,14,6.097980878,5.947263108,6.577153769
294,Fairfield/Ohio,4899200,839951,4258186,294,6.690125169,5.924253951,6.629224628
303,Trumbull/Ohio,969141,821630,298384,303,5.986386967,5.914676288,5.474775532
251,Scioto/Ohio,3812447,687249,2980398,251,6.581203815,5.837114117,6.474274263
56,Warren/Virginia,1512163,628621,2546581,56,6.179598607,5.798388885,6.405957494
335,Perry/Kentucky,313135,519485,2569237,335,5.495731613,5.715573012,6.409804168
85,Tazewell/Virginia,4321485,498053,6865038,85,6.63563301,5.69727556,6.836642946
272,Stark/Ohio,5512101,493388,5575654,272,6.741317167,5.693188583,6.746295816
387,Boyd/Kentucky,1922867,488733,2522358,387,6.283949246,5.689071664,6.401806726
426,Laurel/Kentucky,176277,436360,1733663,426,5.246195651,5.639844933,6.238964681
187,Allegheny/Pennsylvania,382720609,431980,926857487,187,8.582881849,5.63546364,8.967012962
257,Clermont/Ohio,4585208,408057,4289635,257,6.661359041,5.610720832,6.63242034
104,Roanoke/Virginia,282644,407671,88965,104,5.451239771,5.610309819,4.949219183
305,Ross/Ohio,1445141,401725,232051,305,6.159910223,5.603928859,5.365583444
13,Loudoun/Virginia,329311,391884,1757430,13,5.517606238,5.593157532,6.244878036
347,Pulaski/Kentucky,1262361,375528,1532085,347,6.101183569,5.574642324,6.185282861
290,Athens/Ohio,2608923,375233,772332,290,6.416461261,5.574301026,5.887804029
