year,loc_x,loc_y,estm_count
0,-80.4405,37.0675,79
1,-80.4405,37.0675,55
2,-80.4405,37.0675,283
3,-80.4405,37.0675,428
4,-80.4405,37.0675,45
5,-80.4405,37.0675,51
6,-80.4405,37.0675,75
7,-80.4405,37.0675,256
0,-77.9267,37.5427,69
1,-77.9267,37.5427,22
2,-77.9267,37.5427,18
3,-77.9267,37.5427,15
4,-77.9267,37.5427,14
5,-77.9267,37.5427,31
6,-77.9267,37.5427,52
7,-77.9267,37.5427,105
0,-79.5431,37.6301,18
1,-79.5431,37.6301,13
2,-79.5431,37.6301,17
3,-79.5431,37.6301,25
4,-79.5431,37.6301,23
5,-79.5431,37.6301,48
6,-79.5431,37.6301,48
7,-79.5431,37.6301,54
0,-77.4322,37.6274,368
1,-77.4322,37.6274,380
2,-77.4322,37.6274,219
3,-77.4322,37.6274,297
4,-77.4322,37.6274,309
5,-77.4322,37.6274,482
6,-77.4322,37.6274,682
7,-77.4322,37.6274,1088
0,-77.4448,38.7717,8
1,-77.4448,38.7717,10
2,-77.4448,38.7717,4
3,-77.4448,38.7717,0
4,-77.4448,38.7717,2
5,-77.4448,38.7717,3
6,-77.4448,38.7717,13
7,-77.4448,38.7717,9
0,-82.3763,37.1026,95
1,-82.3763,37.1026,63
2,-82.3763,37.1026,66
3,-82.3763,37.1026,60
4,-82.3763,37.1026,59
5,-82.3763,37.1026,54
6,-82.3763,37.1026,54
7,-82.3763,37.1026,83
0,-76.3477,37.8832,4
1,-76.3477,37.8832,4
2,-76.3477,37.8832,39
3,-76.3477,37.8832,-16
4,-76.3477,37.8832,4
5,-76.3477,37.8832,14
6,-76.3477,37.8832,38
7,-76.3477,37.8832,43
0,-77.1579,38.8514,466
1,-77.1579,38.8514,1225
2,-77.1579,38.8514,593
3,-77.1579,38.8514,162
4,-77.1579,38.8514,193
5,-77.1579,38.8514,280
6,-77.1579,38.8514,484
7,-77.1579,38.8514,994
0,-78.7284,36.839,70
1,-78.7284,36.839,45
2,-78.7284,36.839,65
3,-78.7284,36.839,53
4,-78.7284,36.839,29
5,-78.7284,36.839,39
6,-78.7284,36.839,30
7,-78.7284,36.839,54
0,-78.1638,37.7533,26
1,-78.1638,37.7533,10
2,-78.1638,37.7533,3
3,-78.1638,37.7533,5
4,-78.1638,37.7533,7
5,-78.1638,37.7533,12
6,-78.1638,37.7533,35
7,-78.1638,37.7533,38
0,-79.0087,38.1939,33
1,-79.0087,38.1939,113
2,-79.0087,38.1939,40
3,-79.0087,38.1939,14
4,-79.0087,38.1939,19
5,-79.0087,38.1939,44
6,-79.0087,38.1939,86
7,-79.0087,38.1939,138
0,-77.4655,38.3319,179
1,-77.4655,38.3319,210
2,-77.4655,38.3319,247
3,-77.4655,38.3319,232
4,-77.4655,38.3319,247
5,-77.4655,38.3319,272
6,-77.4655,38.3319,383
7,-77.4655,38.3319,364
0,-77.4712,39.0302,45
1,-77.4712,39.0302,151
2,-77.4712,39.0302,524
3,-77.4712,39.0302,76
4,-77.4712,39.0302,85
5,-77.4712,39.0302,77
6,-77.4712,39.0302,297
7,-77.4712,39.0302,621
0,-82.7774,36.8615,470
1,-82.7774,36.8615,1099
2,-82.7774,36.8615,166
3,-82.7774,36.8615,144
4,-82.7774,36.8615,125
5,-82.7774,36.8615,507
6,-82.7774,36.8615,420
7,-82.7774,36.8615,99
0,-76.2883,37.4984,16
1,-76.2883,37.4984,6
2,-76.2883,37.4984,6
3,-76.2883,37.4984,13
4,-76.2883,37.4984,15
5,-76.2883,37.4984,27
6,-76.2883,37.4984,15
7,-76.2883,37.4984,2
0,-81.8015,37.2473,230
1,-81.8015,37.2473,178
2,-81.8015,37.2473,89
3,-81.8015,37.2473,84
4,-81.8015,37.2473,68
5,-81.8015,37.2473,79
6,-81.8015,37.2473,116
7,-81.8015,37.2473,174
0,-78.9012,38.0673,29
1,-78.9012,38.0673,1
2,-78.9012,38.0673,1
3,-78.9012,38.0673,11
4,-78.9012,38.0673,-1
5,-78.9012,38.0673,1
6,-78.9012,38.0673,0
7,-78.9012,38.0673,2
0,-78.5222,38.041,40
1,-78.5222,38.041,18
2,-78.5222,38.041,9
3,-78.5222,38.041,11
4,-78.5222,38.041,19
5,-78.5222,38.041,28
6,-78.5222,38.041,44
7,-78.5222,38.041,77
0,-81.6257,36.6015,27
1,-81.6257,36.6015,30
2,-81.6257,36.6015,10
3,-81.6257,36.6015,17
4,-81.6257,36.6015,6
5,-81.6257,36.6015,14
6,-81.6257,36.6015,34
7,-81.6257,36.6015,66
0,-78.8828,37.913000000000004,-2
1,-78.8828,37.913000000000004,25
2,-78.8828,37.913000000000004,16
3,-78.8828,37.913000000000004,22
4,-78.8828,37.913000000000004,6
5,-78.8828,37.913000000000004,9
6,-78.8828,37.913000000000004,10
7,-78.8828,37.913000000000004,56
0,-79.444,37.7825,0
1,-79.444,37.7825,1
2,-79.444,37.7825,0
3,-79.444,37.7825,1
4,-79.444,37.7825,0
5,-79.444,37.7825,0
6,-79.444,37.7825,0
7,-79.444,37.7825,-1
0,-82.2961,36.9791,85
1,-82.2961,36.9791,29
2,-82.2961,36.9791,185
3,-82.2961,36.9791,518
4,-82.2961,36.9791,23
5,-82.2961,36.9791,40
6,-82.2961,36.9791,148
7,-82.2961,36.9791,45
0,-76.8978,36.9052,79
1,-76.8978,36.9052,30
2,-76.8978,36.9052,39
3,-76.8978,36.9052,156
4,-76.8978,36.9052,37
5,-76.8978,36.9052,27
6,-76.8978,36.9052,51
7,-76.8978,36.9052,54
0,-76.8229,38.0941,14
1,-76.8229,38.0941,18
2,-76.8229,38.0941,24
3,-76.8229,38.0941,20
4,-76.8229,38.0941,33
5,-76.8229,38.0941,40
6,-76.8229,38.0941,47
7,-76.8229,38.0941,55
0,-80.3578,36.7168,49
1,-80.3578,36.7168,71
2,-80.3578,36.7168,73
3,-80.3578,36.7168,34
4,-80.3578,36.7168,35
5,-80.3578,36.7168,23
6,-80.3578,36.7168,55
7,-80.3578,36.7168,22
0,-79.9917,36.8293,90
1,-79.9917,36.8293,74
2,-79.9917,36.8293,80
3,-79.9917,36.8293,174
4,-79.9917,36.8293,92
5,-79.9917,36.8293,102
6,-79.9917,36.8293,118
7,-79.9917,36.8293,79
0,-83.1152,36.6871,158
1,-83.1152,36.6871,60
2,-83.1152,36.6871,72
3,-83.1152,36.6871,38
4,-83.1152,36.6871,50
5,-83.1152,36.6871,80
6,-83.1152,36.6871,198
7,-83.1152,36.6871,56
0,-79.2895,37.2338,14
1,-79.2895,37.2338,18
2,-79.2895,37.2338,28
3,-79.2895,37.2338,31
4,-79.2895,37.2338,44
5,-79.2895,37.2338,56
6,-79.2895,37.2338,60
7,-79.2895,37.2338,23
0,-82.7962,36.7196,136
1,-82.7962,36.7196,127
2,-82.7962,36.7196,144
3,-82.7962,36.7196,155
4,-82.7962,36.7196,219
5,-82.7962,36.7196,207
6,-82.7962,36.7196,254
