year,loc_x,loc_y,real_count
0,-80.4405,37.0675,12
1,-80.4405,37.0675,3
2,-80.4405,37.0675,18
3,-80.4405,37.0675,36
4,-80.4405,37.0675,21
5,-80.4405,37.0675,10
6,-80.4405,37.0675,22
7,-80.4405,37.0675,33
0,-77.9267,37.5427,2
1,-77.9267,37.5427,1
2,-77.9267,37.5427,1
3,-77.9267,37.5427,5
4,-77.9267,37.5427,22
5,-77.9267,37.5427,15
6,-77.9267,37.5427,22
7,-77.9267,37.5427,26
0,-79.5431,37.6301,1
1,-79.5431,37.6301,0
2,-79.5431,37.6301,2
3,-79.5431,37.6301,9
4,-79.5431,37.6301,6
5,-79.5431,37.6301,15
6,-79.5431,37.6301,7
7,-79.5431,37.6301,10
0,-77.4322,37.6274,129
1,-77.4322,37.6274,130
2,-77.4322,37.6274,181
3,-77.4322,37.6274,274
4,-77.4322,37.6274,381
5,-77.4322,37.6274,556
6,-77.4322,37.6274,592
7,-77.4322,37.6274,535
0,-77.4448,38.7717,28
1,-77.4448,38.7717,0
2,-77.4448,38.7717,0
3,-77.4448,38.7717,13
4,-77.4448,38.7717,0
5,-77.4448,38.7717,2
6,-77.4448,38.7717,3
7,-77.4448,38.7717,0
0,-82.3763,37.1026,0
1,-82.3763,37.1026,0
2,-82.3763,37.1026,0
3,-82.3763,37.1026,1
4,-82.3763,37.1026,0
5,-82.3763,37.1026,0
6,-82.3763,37.1026,0
7,-82.3763,37.1026,24
0,-76.3477,37.8832,0
1,-76.3477,37.8832,0
2,-76.3477,37.8832,0
3,-76.3477,37.8832,0
4,-76.3477,37.8832,2
5,-76.3477,37.8832,0
6,-76.3477,37.8832,13
7,-76.3477,37.8832,0
0,-77.1579,38.8514,122
1,-77.1579,38.8514,157
2,-77.1579,38.8514,246
3,-77.1579,38.8514,276
4,-77.1579,38.8514,274
5,-77.1579,38.8514,342
6,-77.1579,38.8514,444
7,-77.1579,38.8514,315
0,-78.7284,36.839,0
1,-78.7284,36.839,0
2,-78.7284,36.839,0
3,-78.7284,36.839,0
4,-78.7284,36.839,0
5,-78.7284,36.839,3
6,-78.7284,36.839,5
7,-78.7284,36.839,40
0,-78.1638,37.7533,1
1,-78.1638,37.7533,0
2,-78.1638,37.7533,0
3,-78.1638,37.7533,0
4,-78.1638,37.7533,2
5,-78.1638,37.7533,5
6,-78.1638,37.7533,18
7,-78.1638,37.7533,8
0,-79.0087,38.1939,0
1,-79.0087,38.1939,3
2,-79.0087,38.1939,1
3,-79.0087,38.1939,4
4,-79.0087,38.1939,15
5,-79.0087,38.1939,24
6,-79.0087,38.1939,15
7,-79.0087,38.1939,12
0,-77.4655,38.3319,22
1,-77.4655,38.3319,25
2,-77.4655,38.3319,65
3,-77.4655,38.3319,86
4,-77.4655,38.3319,102
5,-77.4655,38.3319,133
6,-77.4655,38.3319,196
