year,loc_x,loc_y,real_count
0,-80.4405,37.0675,197
1,-80.4405,37.0675,147
2,-80.4405,37.0675,132
3,-80.4405,37.0675,172
4,-80.4405,37.0675,146
5,-80.4405,37.0675,174
6,-80.4405,37.0675,160
7,-80.4405,37.0675,203
0,-77.9267,37.5427,34
1,-77.9267,37.5427,15
2,-77.9267,37.5427,7
3,-77.9267,37.5427,29
4,-77.9267,37.5427,47
5,-77.9267,37.5427,30
6,-77.9267,37.5427,41
7,-77.9267,37.5427,61
0,-79.5431,37.6301,19
1,-79.5431,37.6301,16
2,-79.5431,37.6301,29
3,-79.5431,37.6301,38
4,-79.5431,37.6301,37
5,-79.5431,37.6301,56
6,-79.5431,37.6301,50
7,-79.5431,37.6301,51
0,-77.4322,37.6274,245
1,-77.4322,37.6274,284
2,-77.4322,37.6274,337
3,-77.4322,37.6274,432
4,-77.4322,37.6274,584
5,-77.4322,37.6274,802
6,-77.4322,37.6274,950
7,-77.4322,37.6274,1039
0,-77.4448,38.7717,29
1,-77.4448,38.7717,4
2,-77.4448,38.7717,1
3,-77.4448,38.7717,15
4,-77.4448,38.7717,0
5,-77.4448,38.7717,4
6,-77.4448,38.7717,4
7,-77.4448,38.7717,1
0,-82.3763,37.1026,78
1,-82.3763,37.1026,64
2,-82.3763,37.1026,37
3,-82.3763,37.1026,71
4,-82.3763,37.1026,82
5,-82.3763,37.1026,54
6,-82.3763,37.1026,51
7,-82.3763,37.1026,113
0,-76.3477,37.8832,5
1,-76.3477,37.8832,3
2,-76.3477,37.8832,4
3,-76.3477,37.8832,4
4,-76.3477,37.8832,6
5,-76.3477,37.8832,32
6,-76.3477,37.8832,71
7,-76.3477,37.8832,15
0,-77.1579,38.8514,421
1,-77.1579,38.8514,533
2,-77.1579,38.8514,632
3,-77.1579,38.8514,623
4,-77.1579,38.8514,516
5,-77.1579,38.8514,603
6,-77.1579,38.8514,859
7,-77.1579,38.8514,819
0,-78.7284,36.839,44
1,-78.7284,36.839,45
2,-78.7284,36.839,37
3,-78.7284,36.839,58
4,-78.7284,36.839,58
5,-78.7284,36.839,32
6,-78.7284,36.839,27
7,-78.7284,36.839,86
0,-78.1638,37.7533,6
1,-78.1638,37.7533,27
2,-78.1638,37.7533,14
3,-78.1638,37.7533,6
4,-78.1638,37.7533,18
5,-78.1638,37.7533,17
6,-78.1638,37.7533,50
7,-78.1638,37.7533,23
0,-79.0087,38.1939,35
1,-79.0087,38.1939,41
2,-79.0087,38.1939,33
3,-79.0087,38.1939,17
4,-79.0087,38.1939,87
5,-79.0087,38.1939,59
6,-79.0087,38.1939,88
7,-79.0087,38.1939,59
0,-77.4655,38.3319,166
1,-77.4655,38.3319,213
