year,loc_x,loc_y,estm_count
0,-80.4405,37.0675,559
1,-80.4405,37.0675,99
2,-80.4405,37.0675,66
3,-80.4405,37.0675,236
4,-80.4405,37.0675,92
5,-80.4405,37.0675,136
6,-80.4405,37.0675,278
7,-80.4405,37.0675,437
0,-77.9267,37.5427,130
1,-77.9267,37.5427,55
2,-77.9267,37.5427,29
3,-77.9267,37.5427,26
4,-77.9267,37.5427,31
5,-77.9267,37.5427,57
6,-77.9267,37.5427,128
7,-77.9267,37.5427,180
0,-79.5431,37.6301,125
1,-79.5431,37.6301,41
2,-79.5431,37.6301,14
3,-79.5431,37.6301,135
4,-79.5431,37.6301,49
5,-79.5431,37.6301,13
6,-79.5431,37.6301,66
7,-79.5431,37.6301,58
0,-77.4322,37.6274,1505
1,-77.4322,37.6274,715
2,-77.4322,37.6274,368
3,-77.4322,37.6274,402
4,-77.4322,37.6274,680
5,-77.4322,37.6274,1208
6,-77.4322,37.6274,2365
7,-77.4322,37.6274,3220
0,-77.4448,38.7717,14
1,-77.4448,38.7717,28
2,-77.4448,38.7717,18
3,-77.4448,38.7717,6
4,-77.4448,38.7717,5
5,-77.4448,38.7717,12
6,-77.4448,38.7717,31
7,-77.4448,38.7717,24
0,-82.3763,37.1026,128
1,-82.3763,37.1026,99
2,-82.3763,37.1026,90
3,-82.3763,37.1026,82
4,-82.3763,37.1026,84
5,-82.3763,37.1026,80
6,-82.3763,37.1026,84
7,-82.3763,37.1026,133
0,-76.3477,37.8832,61
1,-76.3477,37.8832,67
2,-76.3477,37.8832,21
3,-76.3477,37.8832,18
4,-76.3477,37.8832,14
5,-76.3477,37.8832,34
6,-76.3477,37.8832,93
7,-76.3477,37.8832,104
0,-77.1579,38.8514,915
1,-77.1579,38.8514,230
2,-77.1579,38.8514,260
3,-77.1579,38.8514,751
4,-77.1579,38.8514,525
5,-77.1579,38.8514,819
6,-77.1579,38.8514,1210
7,-77.1579,38.8514,2172
0,-78.7284,36.839,104
1,-78.7284,36.839,152
2,-78.7284,36.839,201
3,-78.7284,36.839,199
4,-78.7284,36.839,35
5,-78.7284,36.839,47
6,-78.7284,36.839,45
7,-78.7284,36.839,101
0,-78.1638,37.7533,80
1,-78.1638,37.7533,34
2,-78.1638,37.7533,18
3,-78.1638,37.7533,16
4,-78.1638,37.7533,18
5,-78.1638,37.7533,33
6,-78.1638,37.7533,77
7,-78.1638,37.7533,109
0,-79.0087,38.1939,113
1,-79.0087,38.1939,22
2,-79.0087,38.1939,19
3,-79.0087,38.1939,54
4,-79.0087,38.1939,36
5,-79.0087,38.1939,57
6,-79.0087,38.1939,144
7,-79.0087,38.1939,146
0,-77.4655,38.3319,644
1,-77.4655,38.3319,143
2,-77.4655,38.3319,111
3,-77.4655,38.3319,395
4,-77.4655,38.3319,243
5,-77.4655,38.3319,245
6,-77.4655,38.3319,646
7,-77.4655,38.3319,875
0,-77.4712,39.0302,362
1,-77.4712,39.0302,99
2,-77.4712,39.0302,78
3,-77.4712,39.0302,238
4,-77.4712,39.0302,147
5,-77.4712,39.0302,351
6,-77.4712,39.0302,546
7,-77.4712,39.0302,544
0,-82.7774,36.8615,196
1,-82.7774,36.8615,810
2,-82.7774,36.8615,790
3,-82.7774,36.8615,176
4,-82.7774,36.8615,201
5,-82.7774,36.8615,710
6,-82.7774,36.8615,859
7,-82.7774,36.8615,212
0,-76.2883,37.4984,51
1,-76.2883,37.4984,15
2,-76.2883,37.4984,13
3,-76.2883,37.4984,17
4,-76.2883,37.4984,36
5,-76.2883,37.4984,98
6,-76.2883,37.4984,79
7,-76.2883,37.4984,30
0,-81.8015,37.2473,255
1,-81.8015,37.2473,467
2,-81.8015,37.2473,551
