StartX,StartY,DestX,DestY,AffectIndex
-80.4405,37.0675,-80.5583,37.1229,0.003300523
-77.9267,37.5427,-77.7022,37.6015,0.053801977
-77.9267,37.5427,-77.9882,37.3366,0.026555830
-79.5431,37.6301,-79.444,37.7825,0.036640394
-77.4322,37.6274,-77.3706,37.7668,0.000600919
-77.4448,38.7717,-77.2604,38.6823,0.000007516
-77.4448,38.7717,-77.4712,39.0302,0.001019066
-82.3763,37.1026,-82.626,36.9317,0.055964970
-82.3763,37.1026,-82.2961,36.9791,0.001747274
-76.3477,37.8832,-76.5747,37.6395,0.018754830
-78.7284,36.839,-78.601,36.9933,0.003185381
-78.7284,36.839,-78.3908,36.666,0.005162587
-78.1638,37.7533,-77.9267,37.5427,0.000337296
-78.1638,37.7533,-78.0883,37.6674,0.000306137
-79.0087,38.1939,-78.9012,38.0673,0.001579046
-77.4655,38.3319,-77.4871,38.2992,0.000003199
-77.4655,38.3319,-77.3473,38.0533,0.001884538
-77.4655,38.3319,-77.5885,38.1982,0.000359327
-77.4712,39.0302,-77.1878,38.8648,0.204408965
-77.4712,39.0302,-77.1579,38.8514,0.000152966
-82.7774,36.8615,-82.7493,37.1638,0.004498603
-76.2883,37.4984,-76.4402,37.2801,0.007528752
-81.8015,37.2473,-82.0632,37.4807,0.002810679
-78.9012,38.0673,-78.8828,37.913000000000004,0.000992499
-78.9012,38.0673,-79.0608,38.1593,0.017455212
-78.5222,38.041,-78.4856,38.0374,0.001032414
-81.6257,36.6015,-81.6382,36.666,0.001967880
-78.8828,37.913000000000004,-78.9012,38.0673,0.020335848
-78.8828,37.913000000000004,-79.0087,38.1939,0.000415160
-79.444,37.7825,-79.3565,37.7316,0.008488992
-79.444,37.7825,-79.5709,38.1948,0.002415773
-82.2961,36.9791,-82.1607,36.618,0.009497242
-76.8978,36.9052,-76.8308,36.866,0.000187808
-76.8978,36.9052,-76.9665,37.2273,0.061377237
-76.8978,36.9052,-76.6847,36.5882,0.015516046
-76.8229,38.0941,-76.8665,37.9185,0.000603988
-80.3578,36.7168,-80.2045,37.0379,0.016293229
-80.3578,36.7168,-80.6997,36.6771,0.012882031
-79.9917,36.8293,-79.8636,36.6827,0.003196888
-83.1152,36.6871,-83.4045,36.8155,0.001736747
-79.2895,37.2338,-79.1058,37.4487,0.000247639
-82.7962,36.7196,-82.626,36.9317,0.027930415
-77.7219,36.9853,-77.8937,36.8553,0.007359532
-77.7219,36.9853,-77.4689,36.816,0.004055661
-80.6997,36.6771,-80.7255,36.9342,0.000536617
-80.6997,36.6771,-80.9176,36.666,0.042015890
-75.7182,37.6917,-75.8283,37.5295,0.064603759
-75.8283,37.5295,-76.3477,37.8832,0.001272228
-78.1283,36.9608,-77.8937,36.8553,0.006249739
-78.1283,36.9608,-78.3908,36.666,0.005545803
-76.538,37.7301,-76.3477,37.8832,0.000474859
-76.538,37.7301,-76.6625,37.9501,0.000100904
-78.6333,37.494,-79.1058,37.4487,0.001962599
-78.6333,37.494,-78.8828,37.913000000000004,0.005378109
-79.7872,36.6871,-79.4196,36.6716,0.003237883
-79.7872,36.6871,-79.9917,36.8293,0.001206709
-77.8267,38.416,-77.5885,38.1982,0.000523151
-78.1745,39.1734,-78.3319,39.264,0.001790345
-78.1125,38.2484,-78.4417,38.2504,0.004327644
-77.6492,37.506,-77.9267,37.5427,0.001619549
-77.6661,38.6355,-77.8267,38.416,0.000523095
-78.9061,38.6601,-78.8735,38.4362,0.009304315
-78.9061,38.6601,-79.2413,38.6219,0.126988765
-77.9882,37.3366,-78.0883,37.6674,0.178940990
-78.3908,36.666,-78.7284,36.839,0.001794201
-81.6382,36.666,-81.6257,36.6015,0.000240372
-81.192,36.8862,-81.1501,37.1521,0.015206662
-77.9061,38.0068,-77.5885,38.1982,0.001091133
-78.3681,39.0551,-78.1745,39.1734,0.003622535
-81.5927,36.7929,-81.6257,36.6015,0.007127517
-81.5927,36.7929,-81.6387,37.1909,0.000730682
-76.6625,37.9501,-76.538,37.7301,0.015998930
-76.6625,37.9501,-76.8665,37.9185,0.000739043
-77.4689,36.816,-77.2875,36.8457,0.004218446
-77.0687,37.344,-76.9665,37.2273,0.138740077
-80.5583,37.1229,-80.7255,36.9342,0.002662583
-78.0883,37.6674,-77.9882,37.3366,0.026687168
-78.1033,38.9231,-78.1745,39.1734,0.004387192
-77.8937,36.8553,-78.1283,36.9608,0.007010256
-78.4545,38.6653,-78.3681,39.0551,0.000832434
-78.601,36.9933,-78.7284,36.839,0.000647673
-78.601,36.9933,-78.3908,36.666,0.002086672
-80.8576,37.373000000000005,-80.8865,37.7243,0.012677630
-80.8576,37.373000000000005,-81.1501,37.1521,0.025198391
-77.0436,37.4418,-76.9665,37.2273,0.093731881
-80.7255,36.9342,-80.6997,36.6771,0.000662468
-80.7255,36.9342,-80.5583,37.1229,0.014462721
-77.3473,38.0533,-77.5885,38.1982,0.001022526
-77.3473,38.0533,-77.3706,37.7668,0.001043896
-76.0435,36.7335,-76.3024,36.6778,0.024843636
-79.7253,37.3866,-79.8886,37.2747,0.000042852
-79.4196,36.6716,-79.8636,36.6827,0.049274334
-77.2604,38.6823,-77.1579,38.8514,0.000160931
-77.2604,38.6823,-77.1878,38.8648,0.190607652
-79.8779,37.4167,-79.7253,37.3866,0.000467846
-79.8779,37.4167,-80.0554,37.2864,0.007924348
-76.8308,36.866,-76.9665,37.2273,0.034651948
-76.8308,36.866,-76.6847,36.5882,0.002511692
-77.7022,37.6015,-77.9267,37.5427,0.007086190
-78.3319,39.264,-78.3681,39.0551,0.000750883
-78.3319,39.264,-78.1745,39.1734,0.000260293
-78.3319,39.264,-78.5228,39.3732,0.001320053
-81.1501,37.1521,-81.192,36.8862,0.001222752
-77.3706,37.7668,-77.3473,38.0533,0.000594735
-77.3706,37.7668,-77.7022,37.6015,0.012423517
-76.3024,36.6778,-76.0435,36.7335,0.017130708
-76.8665,37.9185,-76.8229,38.0941,0.003224449
-76.8665,37.9185,-76.6625,37.9501,0.000034874
-77.2875,36.8457,-77.4689,36.816,0.010994561
-77.2875,36.8457,-77.3914,37.2042,0.010424267
-78.3261,38.4879,-78.2322,38.6562,0.002052470
-79.5709,38.1948,-79.6403,38.3237,0.015053718
-79.5709,38.1948,-79.444,37.7825,0.253849025
-78.0029,37.0821,-77.9882,37.3366,0.004938760
-78.4417,38.2504,-78.4856,38.0374,0.005379450
-78.4417,38.2504,-78.3261,38.4879,0.014409842
-81.6387,37.1909,-81.3572,37.3675,0.002835097
-81.6387,37.1909,-81.5927,36.7929,0.005697715
-78.4856,38.0374,-78.4417,38.2504,0.012703881
-80.1395,37.4293,-80.0554,37.2864,0.013827536
-80.1395,37.4293,-79.8779,37.4167,0.003219007
-79.9795,37.8865,-79.9868,37.7786,0.067220219
-79.9795,37.8865,-79.8779,37.4167,0.005877055
-76.4402,37.2801,-76.3569,37.1318,0.022951882
-76.259,36.8945,-76.3024,36.6778,0.004483253
-76.259,36.8945,-76.3569,37.1318,0.106025272
-76.6847,36.5882,-76.8978,36.9052,0.001271567
-76.6847,36.5882,-76.3024,36.6778,0.004412433
-77.9823,39.1508,-78.1745,39.1734,0.000263255
-77.9823,39.1508,-77.7517,39.3242,0.000900189
-77.3914,37.2042,-77.3969,37.265,0.002312593
-76.9665,37.2273,-77.0687,37.344,0.163737080
-76.9665,37.2273,-76.8041,37.3799,0.014339030
-77.1878,38.8648,-77.1011,38.8786,0.000868995
-77.1878,38.8648,-77.0861,38.8184,0.018120128
-78.2322,38.6562,-78.3261,38.4879,0.011537608
-78.2322,38.6562,-78.4545,38.6653,0.006235224
-80.9176,36.666,-80.7255,36.9342,0.005569138
-79.8636,36.6827,-79.4196,36.6716,0.028022411
-76.8041,37.3799,-76.9665,37.2273,0.087160846
-79.4088,36.5831,-79.8636,36.6827,0.084107899
-79.1058,37.4487,-79.1911,37.4004,0.008591683
-79.1058,37.4487,-79.2895,37.2338,0.008937090
-78.8735,38.4362,-78.9061,38.6601,0.004127711
-77.4871,38.2992,-77.4655,38.3319,0.000569028
-79.8886,37.2747,-80.0554,37.2864,0.004793325
-79.8886,37.2747,-79.8779,37.4167,0.000391169
-78.682,37.2642,-78.6333,37.494,0.000229437
-76.354,36.8468,-76.3024,36.6778,0.007640165
-76.354,36.8468,-76.3569,37.1318,0.161862906
-76.5185,37.1052,-76.3569,37.1318,0.087640703
-77.5885,38.1982,-77.3473,38.0533,0.001698435
-77.5885,38.1982,-77.4871,38.2992,0.001317232
