StartX,StartY,DestX,DestY,AffectIndex
-80.4405,37.0675,-80.5583,37.1229,0.163774106
-80.4405,37.0675,-80.2045,37.0379,0.002776053
-77.9267,37.5427,-77.9882,37.3366,0.037206049
-77.9267,37.5427,-78.0883,37.6674,0.024401625
-77.4448,38.7717,-77.4712,39.0302,0.002152381
-77.4448,38.7717,-77.6661,38.6355,0.006326029
-76.3477,37.8832,-76.6625,37.9501,0.003818071
-76.3477,37.8832,-76.5747,37.6395,0.104017192
-77.1579,38.8514,-77.1011,38.8786,0.000624917
-77.1579,38.8514,-77.0861,38.8184,0.001025822
-78.7284,36.839,-78.3908,36.666,0.062849239
-78.1638,37.7533,-77.9267,37.5427,0.053066090
-77.4655,38.3319,-77.4871,38.2992,0.000340250
-77.4655,38.3319,-77.5885,38.1982,0.000117863
-76.2883,37.4984,-76.4402,37.2801,0.005746120
-76.2883,37.4984,-76.433,37.1982,0.000333372
-78.5222,38.041,-78.4856,38.0374,0.001362723
-78.5222,38.041,-78.4417,38.2504,0.003527493
-78.8828,37.913000000000004,-78.9012,38.0673,0.206667879
-76.8978,36.9052,-76.9665,37.2273,0.211527464
-76.8978,36.9052,-76.6847,36.5882,0.008207241
-80.3578,36.7168,-80.2045,37.0379,0.177940266
-79.9917,36.8293,-80.2045,37.0379,0.081982715
-79.2895,37.2338,-79.1058,37.4487,0.037406765
-77.7219,36.9853,-78.0029,37.0821,0.018368533
-80.6997,36.6771,-80.9176,36.666,0.119926025
-80.6997,36.6771,-80.3578,36.7168,0.374223327
-75.7182,37.6917,-75.8283,37.5295,0.073147037
-75.7182,37.6917,-76.3477,37.8832,0.001616281
-75.8283,37.5295,-76.2883,37.4984,0.047590663
-75.8283,37.5295,-75.7182,37.6917,0.049831642
-76.538,37.7301,-76.6625,37.9501,0.002676427
-78.6333,37.494,-78.8828,37.913000000000004,0.013330756
-79.7872,36.6871,-79.4196,36.6716,0.118428419
-77.8267,38.416,-77.6661,38.6355,0.000256023
-77.8267,38.416,-77.5885,38.1982,0.000229592
-78.1745,39.1734,-78.3319,39.264,0.000331280
-78.1745,39.1734,-78.3681,39.0551,0.006688010
-78.1125,38.2484,-78.4417,38.2504,0.026154554
-77.6492,37.506,-77.9267,37.5427,0.001715248
-77.6661,38.6355,-77.4448,38.7717,0.006948215
-77.6661,38.6355,-77.4655,38.3319,0.001805371
-77.9882,37.3366,-78.0029,37.0821,0.037756108
-77.9882,37.3366,-78.0883,37.6674,0.087219802
-78.3908,36.666,-78.1283,36.9608,0.113063803
-78.3908,36.666,-78.601,36.9933,0.005842169
-78.3908,36.666,-78.7284,36.839,0.001178335
-81.192,36.8862,-81.5927,36.7929,0.051140892
-77.9061,38.0068,-78.1638,37.7533,0.000573170
-77.9061,38.0068,-78.1125,38.2484,0.001325332
-78.3681,39.0551,-78.1745,39.1734,0.000621338
-78.3681,39.0551,-78.1033,38.9231,0.000161840
-81.5927,36.7929,-81.6387,37.1909,0.028270850
-76.6625,37.9501,-76.538,37.7301,0.075900061
-77.4689,36.816,-77.2875,36.8457,0.031728100
-78.0883,37.6674,-77.9267,37.5427,0.010490155
-78.0883,37.6674,-77.9882,37.3366,0.049968430
-78.1033,38.9231,-78.1745,39.1734,0.001216048
-78.1033,38.9231,-78.3681,39.0551,0.000331873
-77.8937,36.8553,-78.1283,36.9608,0.361588923
-78.4545,38.6653,-78.2322,38.6562,0.022605299
-78.4545,38.6653,-78.3681,39.0551,0.006227426
-78.601,36.9933,-78.3908,36.666,0.019242391
-80.8576,37.373000000000005,-80.8865,37.7243,0.010313631
-80.8576,37.373000000000005,-81.1501,37.1521,0.257120672
-80.7255,36.9342,-80.4405,37.0675,0.026914289
-77.3473,38.0533,-77.5885,38.1982,0.001296908
-77.3473,38.0533,-77.3706,37.7668,0.001505367
-76.0435,36.7335,-76.3024,36.6778,0.047699687
-76.0435,36.7335,-76.354,36.8468,0.000045986
-79.7253,37.3866,-79.5431,37.6301,0.057209851
-79.4196,36.6716,-79.7872,36.6871,0.107271364
-79.4196,36.6716,-79.8636,36.6827,0.244687836
-77.2604,38.6823,-77.4448,38.7717,0.002267749
-79.8779,37.4167,-80.0554,37.2864,0.009078147
-76.8308,36.866,-76.8978,36.9052,0.000121156
-76.8308,36.866,-76.6847,36.5882,0.001068977
-77.7022,37.6015,-77.9267,37.5427,0.017167181
-77.7022,37.6015,-77.4322,37.6274,0.000929174
-78.3319,39.264,-78.1745,39.1734,0.001215972
-77.3706,37.7668,-77.3473,38.0533,0.001836565
-77.3706,37.7668,-77.7022,37.6015,0.008186389
-76.3024,36.6778,-76.0435,36.7335,0.054871819
-77.2875,36.8457,-77.4689,36.816,0.000533172
-77.2875,36.8457,-77.3914,37.2042,0.025310234
-78.3261,38.4879,-78.4545,38.6653,0.017223621
-78.3261,38.4879,-78.4417,38.2504,0.011264813
-76.5747,37.6395,-76.538,37.7301,0.010972417
-76.5747,37.6395,-76.6625,37.9501,0.000224082
-77.1011,38.8786,-77.1878,38.8648,0.009502792
-77.1011,38.8786,-77.0861,38.8184,0.001865615
-78.0029,37.0821,-77.9882,37.3366,0.016791896
-78.4417,38.2504,-78.4856,38.0374,0.002709228
-78.4417,38.2504,-78.3261,38.4879,0.034176378
-81.6387,37.1909,-81.8015,37.2473,0.035574042
-81.6387,37.1909,-81.5927,36.7929,0.013826331
-78.4856,38.0374,-78.8828,37.913000000000004,0.009030353
-78.4856,38.0374,-78.4417,38.2504,0.035663710
-80.1395,37.4293,-80.0554,37.2864,0.037499955
-76.4402,37.2801,-76.3569,37.1318,0.050777059
-76.259,36.8945,-76.3024,36.6778,0.010434675
-76.259,36.8945,-76.3569,37.1318,0.228739396
-76.6847,36.5882,-76.8308,36.866,0.008160459
-76.6847,36.5882,-76.3024,36.6778,0.013818571
-77.9823,39.1508,-78.1033,38.9231,0.000121285
-77.9823,39.1508,-78.1745,39.1734,0.000218532
-77.3914,37.2042,-77.3969,37.265,0.007063373
-78.2322,38.6562,-78.3261,38.4879,0.004232076
-78.2322,38.6562,-78.4545,38.6653,0.028595805
-76.8041,37.3799,-76.9665,37.2273,0.000998406
-76.8041,37.3799,-77.0436,37.4418,0.004788601
-79.4088,36.5831,-79.4196,36.6716,0.005973934
-79.4088,36.5831,-79.8636,36.6827,1.173321356
-79.1058,37.4487,-79.1911,37.4004,0.004309991
-79.1058,37.4487,-79.2895,37.2338,0.009972737
-78.8735,38.4362,-78.9061,38.6601,0.006001664
-77.4871,38.2992,-77.4655,38.3319,0.002352097
-79.8886,37.2747,-80.0554,37.2864,0.020239157
-78.682,37.2642,-78.6333,37.494,0.021641115
-76.354,36.8468,-76.3024,36.6778,0.013530185
-76.354,36.8468,-76.3569,37.1318,0.449475812
-76.5185,37.1052,-76.3569,37.1318,0.249523455
-77.5885,38.1982,-77.4655,38.3319,0.003692514
-77.5885,38.1982,-77.4871,38.2992,0.000058082
-80.0554,37.2864,-79.8886,37.2747,0.001666412
-80.0554,37.2864,-80.1395,37.4293,0.050756668
-80.2045,37.0379,-80.4405,37.0675,0.034392045
-79.1911,37.4004,-79.1058,37.4487,0.007480574
-79.1911,37.4004,-79.3565,37.7316,0.370302045
-76.433,37.1982,-76.4402,37.2801,0.003293526
-76.433,37.1982,-76.3569,37.1318,0.129428457
-77.2985,37.2914,-77.3914,37.2042,0.018924916
-77.3969,37.265,-77.3914,37.2042,0.011944763
-81.9923,37.805,-82.1696,37.6262,0.062160817
-81.9923,37.805,-82.0632,37.4807,0.002407656
-81.0795,37.9607,-80.8512,38.2001,0.010753216
-81.0795,37.9607,-80.8865,37.7243,0.105910101
-81.0795,37.9607,-81.4371,37.9443,0.000979544
-80.5998,40.6179,-80.4738,40.5989,0.001383397
-80.5998,40.6179,-80.675,40.8871,0.002429683
-77.7517,39.3242,-77.9779,39.458,0.001301191
-77.7517,39.3242,-77.9823,39.1508,0.003245616
-80.2989,39.3923,-80.2279,38.9927,0.057193226
-82.4415,38.2254,-82.4488,38.4298,0.007155808
-79.3662,39.2711,-78.9223,39.336999999999996,0.026460958
-80.964,37.4362,-80.8576,37.373000000000005,0.013272213
-79.8003,39.5512,-80.1696,39.5013,0.002109902
-79.8003,39.5512,-79.9868,39.6587,0.000184467
-79.8003,39.5512,-80.1287,39.2666,1.334535727
-79.9868,39.6587,-80.1696,39.5013,0.000490073
-79.9868,39.6587,-79.8003,39.5512,0.149500579
-82.3188,38.4154,-82.4415,38.2254,0.029125176
-80.6102,40.2811,-80.652,40.3653,0.005630480
-80.6102,40.2811,-80.6951,40.0753,0.011252568
-80.7335,39.9854,-80.6102,40.2811,0.012618218
-80.7335,39.9854,-81.0354,39.8489,0.008751418
-78.4553,39.5313,-78.5228,39.3732,0.005297510
-81.8235,38.8656,-82.1463,38.8862,0.000868499
-82.1696,37.6262,-82.4223,37.8416,0.023407171
-82.1696,37.6262,-81.9923,37.805,0.004957618
-78.9223,39.336999999999996,-78.8661,38.8779,0.014156463
-78.9223,39.336999999999996,-79.3662,39.2711,0.027224923
-80.1696,39.5013,-80.1287,39.2666,0.057397290
-80.1696,39.5013,-79.9868,39.6587,0.002088292
-82.1706,38.6663,-82.1463,38.8862,0.001287169
-80.7316,39.5689,-81.0354,39.8489,0.004664797
-78.5228,39.3732,-78.3319,39.264,0.002134714
-80.6951,40.0753,-80.7335,39.9854,0.001603404
-80.6951,40.0753,-80.6102,40.2811,0.040154242
-77.9779,39.458,-77.7517,39.3242,0.002270005
-80.8865,37.7243,-81.0795,37.9607,0.067513504
-80.8865,37.7243,-80.8576,37.373000000000005,0.017553601
-80.9351,39.6035,-80.7316,39.5689,0.016588949
-80.6551,39.0393,-80.2279,38.9927,0.152692682
-79.67699999999999,40.3312,-80.1873,40.4001,0.000275462
-75.4338,39.894,-75.2744,40.2111,0.001036845
-75.4338,39.894,-75.885,39.9639,0.002085668
-79.8736,41.4998,-79.8364,41.8176,0.007462743
-79.8736,41.4998,-80.0893,41.1572,0.009408849
-80.4091,40.3264,-80.1873,40.4001,0.000009001
-80.4091,40.3264,-80.6102,40.2811,0.000265869
-76.44800000000001,40.336999999999996,-76.5841,39.9163,0.000390333
-77.0278,40.3951,-76.8843,40.2752,0.000126992
-77.0278,40.3951,-77.11399999999999,40.6868,0.011642681
-78.8446,40.4111,-78.5075,40.2592,0.010182767
-80.1873,40.4001,-80.4091,40.3264,0.000969264
-80.1873,40.4001,-80.6102,40.2811,0.000842796
-75.666,41.4846,-75.8214,41.3338,0.000735154
-76.1391,40.3495,-76.44800000000001,40.336999999999996,0.000637907
-80.4738,40.5989,-80.652,40.3653,0.014055674
-80.4738,40.5989,-80.5998,40.6179,0.001135235
-75.2731,41.3957,-75.666,41.4846,0.001662609
-75.8762,41.8332,-76.0457,41.6119,0.002467925
-75.8762,41.8332,-75.666,41.4846,0.000499185
-74.8852,40.1015,-75.2744,40.2111,0.005930722
-74.8852,40.1015,-75.4338,39.894,0.001431105
-75.8214,41.3338,-76.0457,41.6119,0.001871790
-79.4603,40.9185,-79.3803,41.2106,0.009540682
-77.3107,40.7078,-77.11399999999999,40.6868,0.014335289
-77.3107,40.7078,-77.1564,40.9002,0.023636803
-75.2024,40.6295,-75.2744,40.2111,0.012665636
-78.1697,40.3821,-78.2272,40.6864,0.003194813
-76.5841,39.9163,-76.44800000000001,40.336999999999996,0.002744669
-78.7749,41.1062,-78.8765,40.9702,0.002636183
-78.7749,41.1062,-79.1646,40.6783,0.000977637
-75.885,39.9639,-76.3275,39.832,0.000417998
-78.66,41.8694,-78.0205,41.9207,0.021476373
-77.5306,41.0094,-77.3107,40.7078,0.000807584
-77.5306,41.0094,-77.7057,40.98,0.001458833
-76.3275,39.832,-76.5841,39.9163,0.001086231
-79.0941,41.7806,-79.44800000000001,41.4937,0.096031352
-79.44800000000001,41.4937,-79.3803,41.2106,0.015511935
-79.44800000000001,41.4937,-79.0941,41.7806,0.047404344
-77.1569,39.8826,-76.9274,40.2422,0.005128255
-75.418,41.177,-75.183,41.4045,0.000031359
-79.3803,41.2106,-79.44800000000001,41.4937,0.027759584
-79.3803,41.2106,-79.74,40.9505,0.000643570
-75.5072,40.6666,-75.2024,40.6295,0.001050424
-79.1646,40.6783,-78.8765,40.9702,0.003275095
-76.9274,40.2422,-77.1569,39.8826,0.009115354
-76.1763,41.7606,-76.5832,41.4102,0.070364131
-78.5075,40.2592,-78.8446,40.4111,0.000160265
-78.5075,40.2592,-78.1697,40.3821,0.001352101
-77.7057,40.98,-77.8141,40.5331,0.037881432
-80.0893,41.1572,-79.8736,41.4998,0.000763186
-80.0893,41.1572,-79.74,40.9505,0.002173095
-76.9455,41.3265,-76.635,40.9865,0.007232560
-78.8765,40.9702,-79.3803,41.2106,0.018156432
-79.9986,39.9476,-79.8003,39.5512,0.091712496
-80.2625,40.8618,-80.675,40.8871,0.000068206
-80.2625,40.8618,-80.4738,40.5989,0.000260811
-77.069,41.6795,-77.1564,40.9002,0.055372970
-77.515,39.7243,-77.7517,39.3242,0.000477511
-77.515,39.7243,-77.9958,39.931999999999995,0.014027989
-79.5872,40.0903,-79.67699999999999,40.3312,0.000544914
-79.5872,40.0903,-79.8003,39.5512,0.251393332
-76.4969,41.0177,-76.6713,40.7841,0.000400988
-78.77199999999999,39.9834,-78.8446,40.4111,0.000970342
-79.8333,42.2134,-79.8736,41.4998,0.009283771
-76.8843,40.2752,-77.0278,40.3951,0.000287069
-76.8843,40.2752,-76.9274,40.2422,0.001184143
-78.6869,41.5726,-78.66,41.8694,0.004813493
-78.6869,41.5726,-79.0941,41.7806,0.001452764
-76.5832,41.4102,-76.4969,41.0177,0.015104773
-76.5832,41.4102,-76.635,40.9865,0.025451840
-76.6713,40.7841,-76.4969,41.0177,0.000634365
-76.0457,41.6119,-75.8214,41.3338,0.000948709
-79.8364,41.8176,-79.8736,41.4998,0.000708415
-77.1564,40.9002,-77.11399999999999,40.6868,0.002309421
-76.635,40.9865,-76.4969,41.0177,0.003850556
-76.635,40.9865,-76.235,40.8565,0.002350990
-77.11399999999999,40.6868,-77.1564,40.9002,0.036850521
-77.11399999999999,40.6868,-77.0278,40.3951,0.003313774
-77.9958,39.931999999999995,-77.9779,39.458,0.007868014
-77.9958,39.931999999999995,-77.515,39.7243,0.008079868
-78.0205,41.9207,-78.66,41.8694,0.016513296
-75.183,41.4045,-75.666,41.4846,0.001741529
-75.134,40.0076,-74.8852,40.1015,0.000015834
-82.80799999999999,41.4011,-82.8369,41.5853,0.001926924
-84.2693,41.0997,-84.2855,41.3259,0.004417154
-83.9415,41.371,-84.2855,41.3259,0.001350425
-81.9157,41.3128,-81.5348,41.4948,0.000466048
-83.4363,41.3236,-83.3218,41.388000000000005,0.000545187
-83.58200000000001,41.6639,-83.3218,41.388000000000005,0.002347874
-83.58200000000001,41.6639,-83.9053,41.7113,0.003373008
-82.84200000000001,38.7383,-82.6911,38.4949,0.004315135
-82.84200000000001,38.7383,-82.9371,38.3318,0.002902532
-81.5348,41.4948,-81.469,41.6072,0.000013162
-84.76299999999999,39.1864,-84.5675,39.0338,0.000010395
-84.76299999999999,39.1864,-84.6731,38.9472,0.000051455
-83.5444,40.4007,-83.2628,40.3533,0.004045607
-84.41799999999999,41.5024,-84.2693,41.0997,0.030682715
-84.41799999999999,41.5024,-84.2855,41.3259,0.002874693
-84.1532,39.2325,-84.1236,39.3496,0.000772044
-84.1532,39.2325,-84.4815,39.0401,0.000527873
-84.7746,40.8006,-84.6384,40.2802,0.006556429
-82.5049,40.5342,-82.7773,40.7392,0.001896861
-83.3285,41.2162,-83.3218,41.388000000000005,0.000352322
-83.8235,40.9348,-84.146,40.6513,0.002729203
-82.4271,39.921,-82.4129,39.9595,0.000017783
-81.1313,40.1621,-81.2812,40.2737,0.005032633
-81.1313,40.1621,-81.0354,39.8489,0.001277882
-82.6108,39.1117,-82.5243,39.1591,0.001559514
-82.6108,39.1117,-82.5993,39.4187,0.016774529
-83.5564,39.6522,-83.8109,39.3224,0.001458657
-83.5564,39.6522,-83.2993,39.9487,0.000245800
-83.2628,40.3533,-83.08,40.1679,0.000340527
-82.4915,41.2508,-82.80799999999999,41.4011,0.002580317
-82.4502,40.9345,-82.4915,41.2508,0.001723931
-84.3165,39.7927,-84.7133,39.7917,0.004587651
-84.5652,39.3938,-84.4815,39.0401,0.002007756
-81.4165,40.8159,-81.5219,41.0802,0.002852590
-81.4165,40.8159,-81.495,40.5609,0.001362600
-81.9948,40.9864,-82.2818,40.9214,0.002128855
-82.2818,40.9214,-82.0122,41.0348,0.002877449
-84.2855,41.3259,-84.41799999999999,41.5024,0.000706652
-80.6173,41.8567,-79.8364,41.8176,0.002625684
-80.6173,41.8567,-80.6656,41.461999999999996,0.000113242
-83.7878,38.8673,-84.0666,38.6818,0.003256624
-83.7878,38.8673,-83.9191,38.7054,0.001882201
-83.0703,39.8665,-82.7779,39.554,0.002424469
-82.6618,40.6209,-82.7773,40.7392,0.000755741
-82.7779,39.554,-82.5993,39.4187,0.003484329
-82.7779,39.554,-82.5446,39.8426,0.000305036
-81.7517,40.2761,-81.9164,40.5533,0.022826755
-81.7517,40.2761,-81.495,40.5609,0.002832917
-83.2993,39.9487,-83.08,40.1679,0.000131147
