id,name,bias - 1,bias - 3,bias - 5
1,Montgomery/Virginia,214840,146089,79041
2,Powhatan/Virginia,34024,4738,38580
3,Rockbridge/Virginia,23793,596,53232
4,Henrico/Virginia,8708260,308744,10608970
5,Manassas Park (city)/Virginia,2518,861,3357
6,Dickenson/Virginia,8824,2690,252708
7,Northumberland/Virginia,16190,3828,5519
8,Fairfax/Virginia,2491160,1074839,7689879
9,Halifax/Virginia,63129,3408,3968
10,Fluvanna/Virginia,14022,1407,15494
11,Augusta/Virginia,21320,16340,124933
12,Stafford/Virginia,570818,5368,2421875
13,Loudoun/Virginia,329311,391884,1757430
14,Wise/Virginia,1253086,885652,3777059
15,Mathews/Virginia,10286,723,6489
16,Buchanan/Virginia,386669,25358,454358
17,Waynesboro (city)/Virginia,873,673,1068
18,Albemarle/Virginia,27087,2168,7465
19,Grayson/Virginia,8671,1446,11034
20,Nelson/Virginia,5309,2194,5324
21,Lexington (city)/Virginia,32,27,29
22,Russell/Virginia,289582,192331,44881
23,Southampton/Virginia,96614,844,82083
24,Westmoreland/Virginia,3650,493,46118
25,Patrick/Virginia,55332,2225,43422
26,Franklin/Virginia,315796,6715,488294
27,Lee/Virginia,14546,34251,27123
28,Campbell/Virginia,12379,2516,47077
29,Scott/Virginia,926694,37564,1302463
30,Dinwiddie/Virginia,5307,547,3135
31,Carroll/Virginia,49134,31511,106670
32,Accomack/Virginia,15583,7119,31505
33,Northampton/Virginia,839,115,974
34,Lunenburg/Virginia,4528,1041,7991
35,Lancaster/Virginia,954,68,1568
36,Buckingham/Virginia,167853,505,181870
37,Henry/Virginia,44591,7325,95940
38,Culpeper/Virginia,39628,1588,961605
39,Winchester (city)/Virginia,47888,28915,65122
40,Orange/Virginia,100919,11354,163759
41,Chesterfield/Virginia,7685712,102564,9833507
42,Fauquier/Virginia,354735,89841,1462479
43,Rockingham/Virginia,258132,32401,10989
44,Amelia/Virginia,3982,62,3151
45,Mecklenburg/Virginia,91344,7145,130567
46,Washington/Virginia,295595,1527,500374
47,Wythe/Virginia,1218298,107551,80504
48,Louisa/Virginia,36615,6985,106409
49,Shenandoah/Virginia,404245,201985,719280
50,Smyth/Virginia,145981,4704,366961
51,Richmond/Virginia,2375571,1113600,2108496
52,Greensville/Virginia,4019,809,8778
53,Charles City/Virginia,208,12,92
54,Radford (city)/Virginia,6221,3903,9292
55,Cumberland/Virginia,2645,221,3300
56,Warren/Virginia,1512163,628621,2546581
57,Brunswick/Virginia,9000,362,9500
58,Page/Virginia,84955,21313,215332
59,Charlotte/Virginia,10126,2627,12627
60,Highland/Virginia,6,6,6
61,Giles/Virginia,452584,135579,662035
62,New Kent/Virginia,4798,1817,23442
63,Pulaski/Virginia,331959,372725,978749
64,Caroline/Virginia,37097,346,62741
65,Virginia Beach (city)/Virginia,238522,5059,209013
66,Bedford/Virginia,298658,5802,296085
67,Pittsylvania/Virginia,11840,5468,80284
68,Prince William/Virginia,2435756,4593203,8101714
69,Botetourt/Virginia,135283,48548,140191
70,Isle of Wight/Virginia,18556,4090,31836
71,Goochland/Virginia,924,297,3277
72,Frederick/Virginia,743636,3786,1219048
73,Bland/Virginia,3456,1193,192
74,Hanover/Virginia,780042,9807,46480
75,Chesapeake (city)/Virginia,193007,3441,10828
76,Essex/Virginia,2302,378,1587
77,Sussex/Virginia,774,76,4488
78,Madison/Virginia,5646,961,6541
79,Middlesex/Virginia,2936,277,2471
80,Bath/Virginia,1718,954,4164
81,Arlington/Virginia,34973,56110,48359
82,Nottoway/Virginia,2335,423,2048
83,Greene/Virginia,7196,244,14649
84,Covington (city)/Virginia,1,1,1
85,Tazewell/Virginia,4321485,498053,6865038
86,Charlottesville (city)/Virginia,3938,1488,2689
87,Craig/Virginia,1072,86,1044
88,Alleghany/Virginia,25671,974,58433
89,Gloucester/Virginia,78892,3104,56728
90,Norfolk (city)/Virginia,174293,1101,320214
91,Suffolk (city)/Virginia,36456,12131,44797
92,Clarke/Virginia,5612,1056,13168
93,Petersburg (city)/Virginia,7093,4300,7950
94,Surry/Virginia,45,11,86
95,Falls Church (city)/Virginia,108,11,69
96,Rappahannock/Virginia,2985,1415,3899
97,Galax (city)/Virginia,39,23,95
98,Martinsville (city)/Virginia,2488,1099,1993
99,James City/Virginia,13318,6667,13040
100,Danville (city)/Virginia,5516,1493,5401
101,Amherst/Virginia,57469,163,36456
102,Harrisonburg (city)/Virginia,1878,575,6722
103,Fredericksburg (city)/Virginia,17531,3049,17833
104,Roanoke/Virginia,282644,407671,88965
105,Appomattox/Virginia,4505,215,7178
106,Portsmouth (city)/Virginia,275932,25197,208928
107,Newport News (city)/Virginia,250764,15760,84018
108,Spotsylvania/Virginia,965364,183173,3606836
109,Salem (city)/Virginia,26731,5385,6507
110,Staunton (city)/Virginia,1232,362,1019
111,Bristol (city)/Virginia,75704,10324,21663
112,Williamsburg (city)/Virginia,254,47,80
113,Floyd/Virginia,4599,680,4289
114,Alexandria (city)/Virginia,4611,1280,3880
115,Norton (city)/Virginia,4,4,4
116,Lynchburg (city)/Virginia,34963,8004,5543
117,York/Virginia,2884,4180,45793
118,Emporia (city)/Virginia,1394,376,543
119,Poquoson (city)/Virginia,342,297,307
120,Hopewell (city)/Virginia,4347,1720,4211
121,Buena Vista (city)/Virginia,657,137,115
122,Colonial Heights (city)/Virginia,9077,3168,15053
123,Logan/West Virginia,95814,5448,299370
124,Hardy/West Virginia,22502,3413,22675
125,Tucker/West Virginia,21,21,21
126,Fayette/West Virginia,13648,324,14953
127,Hancock/West Virginia,32527,6893,62800
128,Jefferson/West Virginia,13263,761,27673
129,Harrison/West Virginia,446007,132011,1101010
130,Wayne/West Virginia,27451,11029,25766
131,Grant/West Virginia,6206,2772,12573
132,Raleigh/West Virginia,1285778,1093051,3611423
133,Mercer/West Virginia,2717983,370501,4175371
134,Boone/West Virginia,9208,320,11383
135,Preston/West Virginia,1937,205,5199
136,Monroe/West Virginia,2645,708,4613
137,McDowell/West Virginia,18359,3020,2728
138,Randolph/West Virginia,8313,2841,602
139,Monongalia/West Virginia,146606,122383,147367
140,Wood/West Virginia,1060411,33257,85371
141,Putnam/West Virginia,9426,5255,26732
142,Kanawha/West Virginia,1383508,1508640,4139805
143,Cabell/West Virginia,1268801,187019,2817125
144,Brooke/West Virginia,1384,142,630
145,Marshall/West Virginia,83745,2906,186168
146,Morgan/West Virginia,37948,8388,30882
147,Pendleton/West Virginia,16,16,16
148,Barbour/West Virginia,182,422,73
149,Calhoun/West Virginia,347,725,546
150,Jackson/West Virginia,26129,7043,31096
151,Taylor/West Virginia,6,6,6
152,Mingo/West Virginia,30348,8384,124527
153,Mineral/West Virginia,2850,1732,6812
154,Marion/West Virginia,683971,166215,1628235
155,Pocahontas/West Virginia,18485,3744,11474
156,Webster/West Virginia,4000,1441,420
157,Mason/West Virginia,6623,1916,6773
158,Braxton/West Virginia,21247,18379,41324
159,Upshur/West Virginia,71934,2765,61820
160,Clay/West Virginia,679,199,1770
161,Wyoming/West Virginia,1365,278,991
162,Roane/West Virginia,6211,1156,10503
163,Wetzel/West Virginia,4595,2381,6419
164,Gilmer/West Virginia,1034,231,1967
165,Nicholas/West Virginia,218148,110292,152262
166,Hampshire/West Virginia,52443,19427,58297
167,Ohio/West Virginia,253944,1154,46021
168,Berkeley/West Virginia,1613011,345987,278293
169,Greenbrier/West Virginia,87564,36961,208119
170,Pleasants/West Virginia,55,8,51
171,Summers/West Virginia,21648,3030,6307
172,Ritchie/West Virginia,599,323,159
173,Wirt/West Virginia,2,2,2
174,Tyler/West Virginia,2040,924,2333
175,Lewis/West Virginia,74874,32012,81909
176,Lincoln/West Virginia,9,9,9
177,Doddridge/West Virginia,12331,202,5496
178,Westmoreland/Pennsylvania,9342147,108607,2037903
179,Delaware/Pennsylvania,68307521,75797,75174991
180,Carbon/Pennsylvania,128157,3023,252989
181,Venango/Pennsylvania,102543,14083,5996
182,Washington/Pennsylvania,3219660,55920,277236
183,Lebanon/Pennsylvania,1132167,40902,2935282
184,Montgomery/Pennsylvania,181415,10920,7769
185,Perry/Pennsylvania,10255,40828,206270
186,Cambria/Pennsylvania,2130124,117758,2362966
187,Allegheny/Pennsylvania,382720609,431980,926857487
188,Lackawanna/Pennsylvania,4292776,1073320,4283025
189,Berks/Pennsylvania,6047787,77005,6027238
190,Beaver/Pennsylvania,704314,38196,507327
