id,name,bias
1,Montgomery/Virginia,146089.0
2,Powhatan/Virginia,4738.0
3,Rockbridge/Virginia,596.0
4,Henrico/Virginia,308744.0
5,Manassas Park (city)/Virginia,861.0
6,Dickenson/Virginia,2690.0
7,Northumberland/Virginia,3828.0
8,Fairfax/Virginia,1074839.0
9,Halifax/Virginia,3408.0
10,Fluvanna/Virginia,1407.0
11,Augusta/Virginia,16340.0
12,Stafford/Virginia,5368.0
13,Loudoun/Virginia,391884.0
14,Wise/Virginia,885652.0
15,Mathews/Virginia,723.0
16,Buchanan/Virginia,25358.0
17,Waynesboro (city)/Virginia,673.0
18,Albemarle/Virginia,2168.0
19,Grayson/Virginia,1446.0
20,Nelson/Virginia,2194.0
21,Lexington (city)/Virginia,27.0
22,Russell/Virginia,192331.0
23,Southampton/Virginia,844.0
24,Westmoreland/Virginia,493.0
25,Patrick/Virginia,2225.0
26,Franklin/Virginia,6715.0
27,Lee/Virginia,34251.0
28,Campbell/Virginia,2516.0
29,Scott/Virginia,37564.0
30,Dinwiddie/Virginia,547.0
31,Carroll/Virginia,31511.0
32,Accomack/Virginia,7119.0
33,Northampton/Virginia,115.0
34,Lunenburg/Virginia,1041.0
35,Lancaster/Virginia,68.0
36,Buckingham/Virginia,505.0
37,Henry/Virginia,7325.0
38,Culpeper/Virginia,1588.0
39,Winchester (city)/Virginia,28915.0
40,Orange/Virginia,11354.0
41,Chesterfield/Virginia,102564.0
42,Fauquier/Virginia,89841.0
43,Rockingham/Virginia,32401.0
44,Amelia/Virginia,62.0
45,Mecklenburg/Virginia,7145.0
46,Washington/Virginia,1527.0
47,Wythe/Virginia,107551.0
48,Louisa/Virginia,6985.0
49,Shenandoah/Virginia,201985.0
50,Smyth/Virginia,4704.0
51,Richmond/Virginia,1113600.0
52,Greensville/Virginia,809.0
53,Charles City/Virginia,12.0
54,Radford (city)/Virginia,3903.0
55,Cumberland/Virginia,221.0
56,Warren/Virginia,628621.0
57,Brunswick/Virginia,362.0
58,Page/Virginia,21313.0
59,Charlotte/Virginia,2627.0
60,Highland/Virginia,6.0
61,Giles/Virginia,135579.0
62,New Kent/Virginia,1817.0
63,Pulaski/Virginia,372725.0
64,Caroline/Virginia,346.0
65,Virginia Beach (city)/Virginia,5059.0
66,Bedford/Virginia,5802.0
67,Pittsylvania/Virginia,5468.0
68,Prince William/Virginia,4593203.0
69,Botetourt/Virginia,48548.0
70,Isle of Wight/Virginia,4090.0
71,Goochland/Virginia,297.0
72,Frederick/Virginia,3786.0
73,Bland/Virginia,1193.0
74,Hanover/Virginia,9807.0
75,Chesapeake (city)/Virginia,3441.0
76,Essex/Virginia,378.0
77,Sussex/Virginia,76.0
78,Madison/Virginia,961.0
79,Middlesex/Virginia,277.0
80,Bath/Virginia,954.0
81,Arlington/Virginia,56110.0
82,Nottoway/Virginia,423.0
83,Greene/Virginia,244.0
84,Covington (city)/Virginia,1.0
85,Tazewell/Virginia,498053.0
86,Charlottesville (city)/Virginia,1488.0
87,Craig/Virginia,86.0
88,Alleghany/Virginia,974.0
89,Gloucester/Virginia,3104.0
90,Norfolk (city)/Virginia,1101.0
91,Suffolk (city)/Virginia,12131.0
92,Clarke/Virginia,1056.0
93,Petersburg (city)/Virginia,4300.0
94,Surry/Virginia,11.0
95,Falls Church (city)/Virginia,11.0
96,Rappahannock/Virginia,1415.0
97,Galax (city)/Virginia,23.0
98,Martinsville (city)/Virginia,1099.0
99,James City/Virginia,6667.0
100,Danville (city)/Virginia,1493.0
101,Amherst/Virginia,163.0
102,Harrisonburg (city)/Virginia,575.0
103,Fredericksburg (city)/Virginia,3049.0
104,Roanoke/Virginia,407671.0
105,Appomattox/Virginia,215.0
106,Portsmouth (city)/Virginia,25197.0
107,Newport News (city)/Virginia,15760.0
108,Spotsylvania/Virginia,183173.0
109,Salem (city)/Virginia,5385.0
110,Staunton (city)/Virginia,362.0
111,Bristol (city)/Virginia,10324.0
112,Williamsburg (city)/Virginia,47.0
113,Floyd/Virginia,680.0
114,Alexandria (city)/Virginia,1280.0
115,Norton (city)/Virginia,4.0
116,Lynchburg (city)/Virginia,8004.0
117,York/Virginia,4180.0
118,Emporia (city)/Virginia,376.0
119,Poquoson (city)/Virginia,297.0
120,Hopewell (city)/Virginia,1720.0
121,Buena Vista (city)/Virginia,137.0
122,Colonial Heights (city)/Virginia,3168.0
123,Logan/West Virginia,5448.0
124,Hardy/West Virginia,3413.0
125,Tucker/West Virginia,21.0
126,Fayette/West Virginia,324.0
127,Hancock/West Virginia,6893.0
128,Jefferson/West Virginia,761.0
129,Harrison/West Virginia,132011.0
130,Wayne/West Virginia,11029.0
131,Grant/West Virginia,2772.0
132,Raleigh/West Virginia,1093051.0
133,Mercer/West Virginia,370501.0
134,Boone/West Virginia,320.0
135,Preston/West Virginia,205.0
136,Monroe/West Virginia,708.0
137,McDowell/West Virginia,3020.0
138,Randolph/West Virginia,2841.0
139,Monongalia/West Virginia,122383.0
140,Wood/West Virginia,33257.0
141,Putnam/West Virginia,5255.0
142,Kanawha/West Virginia,1508640.0
143,Cabell/West Virginia,187019.0
144,Brooke/West Virginia,142.0
145,Marshall/West Virginia,2906.0
146,Morgan/West Virginia,8388.0
147,Pendleton/West Virginia,16.0
148,Barbour/West Virginia,422.0
149,Calhoun/West Virginia,725.0
150,Jackson/West Virginia,7043.0
151,Taylor/West Virginia,6.0
152,Mingo/West Virginia,8384.0
153,Mineral/West Virginia,1732.0
154,Marion/West Virginia,166215.0
155,Pocahontas/West Virginia,3744.0
156,Webster/West Virginia,1441.0
157,Mason/West Virginia,1916.0
158,Braxton/West Virginia,18379.0
159,Upshur/West Virginia,2765.0
160,Clay/West Virginia,199.0
161,Wyoming/West Virginia,278.0
162,Roane/West Virginia,1156.0
163,Wetzel/West Virginia,2381.0
164,Gilmer/West Virginia,231.0
165,Nicholas/West Virginia,110292.0
166,Hampshire/West Virginia,19427.0
167,Ohio/West Virginia,1154.0
168,Berkeley/West Virginia,345987.0
169,Greenbrier/West Virginia,36961.0
170,Pleasants/West Virginia,8.0
171,Summers/West Virginia,3030.0
172,Ritchie/West Virginia,323.0
173,Wirt/West Virginia,2.0
174,Tyler/West Virginia,924.0
175,Lewis/West Virginia,32012.0
176,Lincoln/West Virginia,9.0
177,Doddridge/West Virginia,202.0
178,Westmoreland/Pennsylvania,108607.0
179,Delaware/Pennsylvania,75797.0
180,Carbon/Pennsylvania,3023.0
181,Venango/Pennsylvania,14083.0
182,Washington/Pennsylvania,55920.0
183,Lebanon/Pennsylvania,40902.0
184,Montgomery/Pennsylvania,10920.0
185,Perry/Pennsylvania,40828.0
186,Cambria/Pennsylvania,117758.0
187,Allegheny/Pennsylvania,431980.0
188,Lackawanna/Pennsylvania,1073320.0
189,Berks/Pennsylvania,77005.0
190,Beaver/Pennsylvania,38196.0
191,Wayne/Pennsylvania,3265.0
192,Susquehanna/Pennsylvania,2242.0
193,Bucks/Pennsylvania,3159033.0
194,Schuylkill/Pennsylvania,37852.0
195,Luzerne/Pennsylvania,145366.0
196,Armstrong/Pennsylvania,86251.0
197,Snyder/Pennsylvania,940.0
198,Northampton/Pennsylvania,163921.0
199,Huntingdon/Pennsylvania,30926.0
200,York/Pennsylvania,294061.0
201,Clearfield/Pennsylvania,8571.0
202,Chester/Pennsylvania,1006271.0
203,Butler/Pennsylvania,45807.0
204,McKean/Pennsylvania,6719.0
205,Clinton/Pennsylvania,4361.0
206,Lancaster/Pennsylvania,170193.0
207,Warren/Pennsylvania,1430.0
208,Forest/Pennsylvania,228.0
209,Adams/Pennsylvania,28079.0
210,Monroe/Pennsylvania,7123.0
211,Clarion/Pennsylvania,1083.0
212,Lehigh/Pennsylvania,42220.0
213,Indiana/Pennsylvania,47963.0
214,Cumberland/Pennsylvania,9441.0
215,Bradford/Pennsylvania,9087.0
216,Bedford/Pennsylvania,7375.0
217,Centre/Pennsylvania,52700.0
218,Mifflin/Pennsylvania,564.0
219,Mercer/Pennsylvania,11499.0
220,Lycoming/Pennsylvania,27440.0
221,Jefferson/Pennsylvania,28318.0
