id,name,bias
0,"Montgomery, Virginia",37949.09530691809
1,"Powhatan, Virginia",45636.57311881301
2,"Rockbridge, Virginia",10079.696214129544
3,"Henrico, Virginia",50996.67622543225
4,"Manassas Park (city), Virginia",8589.115407158837
5,"Dickenson, Virginia",25662.419624174392
6,"Northumberland, Virginia",10786.999912122108
7,"Fairfax, Virginia",328995.2987808313
8,"Halifax, Virginia",12248.578624257043
9,"Fluvanna, Virginia",11154.952397024525
10,"Augusta, Virginia",15072.302683465186
11,"Stafford, Virginia",24843.86962515818
12,"Loudoun, Virginia",12803.700734521797
13,"Wise, Virginia",2880443.329921953
14,"Mathews, Virginia",466.2677875952101
15,"Buchanan, Virginia",199127.62047785128
16,"Waynesboro (city), Virginia",7907.339347154815
17,"Albemarle, Virginia",330331.50293599983
18,"Grayson, Virginia",856.2584038253884
19,"Nelson, Virginia",4494.814035059719
20,"Lexington (city), Virginia",32.30467871953451
21,"Russell, Virginia",2588662.841006855
22,"Southampton, Virginia",66662.14655851974
23,"Westmoreland, Virginia",41948.477279317754
24,"Patrick, Virginia",132594.51237491827
25,"Franklin, Virginia",937577.9799186285
26,"Lee, Virginia",7886.057688163057
27,"Campbell, Virginia",20468.387272606466
28,"Scott, Virginia",60816.95891248042
29,"Dinwiddie, Virginia",138261.3587555887
30,"Carroll, Virginia",1634.1916426838475
31,"Accomack, Virginia",4192.4809532619465
32,"Northampton, Virginia",2719.9653806059355
33,"Lunenburg, Virginia",86133.97337445403
34,"Lancaster, Virginia",504.4311452869042
35,"Buckingham, Virginia",739.4090519848748
36,"Henry, Virginia",505274.3437530818
37,"Culpeper, Virginia",7826.681871177773
38,"Winchester (city), Virginia",361832.72390412306
39,"Orange, Virginia",4601.670880961753
40,"Chesterfield, Virginia",271224.6228411418
41,"Fauquier, Virginia",758332.4922842623
42,"Rockingham, Virginia",26988.286658767916
43,"Amelia, Virginia",2568.762531354715
44,"Mecklenburg, Virginia",329638.3944159766
45,"Washington, Virginia",12088.659669203564
46,"Wythe, Virginia",16025.245448494657
47,"Louisa, Virginia",69924.396151416
48,"Shenandoah, Virginia",29249.883399640366
49,"Smyth, Virginia",196097.9496370519
50,"Richmond, Virginia",16526065.183562584
51,"Greensville, Virginia",91084.3198077345
52,"Charles City, Virginia",329.5575445244867
53,"Radford (city), Virginia",40381.82089791443
54,"Cumberland, Virginia",215.61941289052427
