A,B
8.064405466,8.316842682
7.929304543,8.283139806
7.767463839,8.225745576
7.280554037,8.186198996
7.083748686,8.132375204
6.745309684,8.120127676
6.66211564,7.688334652
6.499554163,7.509330176
6.380338073,7.482459731
6.35451372,7.24163859
6.350690424,7.22415955
6.225838643,7.218169461
6.178585618,7.15418274
6.164703125,7.152763419
6.164090117,7.064400723
6.074418521,7.02238968
6.046729222,6.96758316
6.038640426,6.808680202
6.031343416,6.744342964
6.030729222,6.712155453
6.010336853,6.704219548
6.002714957,6.698608513
5.947263108,6.687529445
5.924253951,6.639289806
5.914676288,6.601391011
5.837114117,6.530475031
5.798388885,6.523073826
5.715573012,6.52029784
5.69727556,6.483989973
5.693188583,6.459459335
5.689071664,6.41307549
5.639844933,6.405660265
5.63546364,6.376124783
5.610720832,6.371648348
5.610309819,6.313268615
5.603928859,6.271490675
5.593157532,6.245219464
5.574642324,6.236818212
5.574301026,6.164444528
5.571388523,6.160126255
5.568789384,6.151318499
5.547459635,6.139378212
5.545880847,6.126167939
5.539059781,6.119261092
5.515509572,6.118286069
5.489598526,6.116289217
5.475297738,6.088983698
5.473812387,6.067547996
5.46843743,6.035208812
5.464267425,6.019156551
5.353240906,6.016562579
5.305319119,6.013017663
5.28404929,6.007292944
5.283217528,5.99238644
5.27188573,5.98639067
5.267434573,5.977238285
5.262861458,5.972007399
5.258208523,5.943083999
5.231721836,5.94056043
5.230941694,5.934582193
5.220670214,5.898790665
5.215901813,5.895254025
5.214634595,5.88756465
5.177732682,5.879859665
5.164617516,5.877708934
5.16246284,5.86334714
5.138122626,5.839904618
5.132192426,5.832916904
5.12092583,5.830578642
5.120610121,5.789789181
5.087721095,5.750514357
5.082264623,5.739921416
5.081620906,5.704648017
5.07920296,5.703527247
5.070990421,5.698668838
5.05968835,5.689591237
5.042544012,5.678126933
5.035857818,5.673792322
5.031614453,5.657645801
5.01099495,5.642455995
4.994919555,5.616059172
4.965577958,5.608849945
4.953474577,5.579649355
4.952603578,5.558507842
4.935764139,5.524132499
4.932357058,5.518949993
4.932098161,5.51803779
4.908125639,5.517189692
4.903757202,5.497776806
4.897731529,5.479617909
4.890711569,5.467104283
4.886518925,5.442594189
4.879984213,5.43854618
4.879652017,5.435753636
4.874133779,5.435238454
4.843182928,5.433517753
4.804180337,5.433329114
4.757722386,5.429588272
4.751433082,5.427881332
4.749040269,5.417545558
4.747567163,5.416914813
4.721810615,5.399431916
4.698057027,5.386596717
4.696967641,5.372549419
4.688063697,5.367449957
4.687600297,5.366473934
4.686171343,5.356032587
4.685320672,5.32402294
4.68090634,5.323617244
4.664801751,5.318760831
4.664105827,5.31231141
4.66093185,5.312186145
4.658736206,5.308307666
4.653598382,5.299131504
4.650530928,5.298306136
4.644635504,5.292473053
4.625518229,5.278821957
4.616317942,5.270483318
4.611744544,5.261869376
4.610958106,5.248726134
4.606263101,5.246628644
4.59709158,5.198437511
4.595551332,5.192019824
4.582017885,5.183870755
4.578088831,5.178901278
4.574771832,5.153335749
4.567743713,5.150618181
4.55188895,5.140700821
4.549652991,5.136638511
4.534673256,5.126032078
4.52188307,5.125325865
4.515277604,5.122525551
4.510558414,5.112856155
4.505312808,5.093802094
4.504688295,5.08365959
4.498462186,5.079299949
4.490323752,5.063736767
4.487816872,5.041902277
4.477396221,5.040580255
4.475264301,5.036555951
4.473384771,5.026252234
4.468642668,5.024037718
4.467223211,5.016632959
4.461123197,5.013357651
4.452062577,4.995228866
4.448381637,4.991718294
4.44356024,4.989150132
4.438384107,4.98768236
4.426901463,4.982908976
4.417737337,4.967168815
4.404114998,4.959443619
4.401348836,4.950228349
4.373831145,4.941378881
4.364926034,4.935835994
4.35193152,4.935174482
4.339908353,4.932161302
4.328644585,4.917251812
4.28840574,4.903846722
4.281760372,4.881293821
4.280077323,4.877068427
4.264321878,4.866173635
4.247605064,4.86134014
4.245882648,4.856341618
4.222742476,4.849949953
4.213252052,4.844628725
4.210238236,4.835878077
4.206637011,4.832422055
4.197556213,4.823879294
4.191842095,4.819205518
4.178372541,4.81868628
4.17333198,4.811308393
4.148695179,4.796128831
4.141951196,4.792697675
4.139028547,4.79215138
4.116707341,4.790779273
4.113809703,4.786982834
4.098609119,4.7862493
4.083896603,4.7840247
4.073864923,4.781747517
4.068000226,4.774015673
4.06228107,4.762672629
4.060660074,4.760858681
4.059260404,4.730659681
4.05514889,4.720830519
4.054421524,4.716214065
4.054076557,4.707541871
4.049566869,4.700502597
4.048519488,4.699067943
4.042536137,4.671988439
4.039929414,4.668298182
4.038222638,4.659313026
4.033785517,4.655397215
4.018450832,4.646255333
4.013847996,4.639561533
3.991536175,4.63779065
3.983220215,4.632054859
3.982858942,4.631324891
3.975017998,4.627503276
3.97183228,4.622716201
3.967454368,4.607885899
3.964023793,4.606185898
3.958563883,4.603477756
3.958420528,4.593559011
3.946452265,4.587487469
3.938319543,4.579201427
3.933031495,4.568521048
3.923658422,4.554625847
3.92345127,4.553043244
3.917190309,4.551364348
3.905256049,4.541138785
3.90330708,4.527153839
3.897132043,4.512764444
3.889805752,4.508581007
3.873378736,4.496650329
3.867762025,4.478239091
3.864807629,4.47702098
3.86362022,4.475569461
3.854002233,4.474646713
3.852662944,4.472156278
3.852418993,4.47039243
3.847757688,4.466124139
3.84416641,4.464220809
3.838408278,4.460218919
3.836703799,4.454723039
3.835880732,4.453373511
3.827304641,4.449022644
3.827046017,4.448201575
3.824321125,4.446495941
3.823930455,4.442253972
3.816307599,4.431175314
3.799891685,4.428999828
3.798581595,4.409297602
3.797336801,4.398465646
3.794627445,4.396466887
3.787602146,4.395219242
3.770483809,4.383185112
3.763951826,4.379157145
3.763577724,4.378321982
3.763128377,4.377896349
3.752432609,4.367651904
3.737828506,4.363846363
3.736237099,4.363199497
3.731185708,4.362211698
3.729812507,4.355887351
3.728110184,4.337114091
3.72057272,4.333619561
3.704064679,4.331889225
3.682596291,4.311083625
3.675595056,4.305645653
3.672467313,4.291551512
3.669037801,4.28873087
3.666237096,4.27692854
3.647969458,4.261866114
3.639586087,4.260080945
3.633468456,4.246405743
3.621176282,4.240030486
3.611723308,4.24001042
3.591398551,4.223890339
3.582971929,4.222514249
3.57818061,4.222339249
3.57333584,4.22230555
3.571359393,4.218926358
3.562649672,4.213065552
3.559667278,4.207201284
3.544564097,4.205109635
3.538950562,4.20480469
3.536684673,4.191899
3.533136288,4.184888972
3.532499586,4.178179607
3.513883186,4.172211611
3.502973059,4.170366762
3.500785173,4.157947381
3.491921713,4.153227119
3.484157424,4.152329675
3.481442629,4.140848331
3.480438147,4.135746849
3.480006943,4.134706921
3.468199586,4.134684111
3.46329561,4.129046538
3.453471234,4.121663653
3.453471234,4.107335515
3.443262987,4.106931245
3.442793226,4.101020772
3.441695136,4.088085694
3.42975228,4.082378151
3.429429264,4.066250585
3.419460073,4.06339716
3.415307292,4.057215207
3.406028945,4.055440575
3.400710637,4.047467721
3.380753771,4.032900675
3.376759395,4.021020851
3.366236124,4.015292458
3.350635608,4.012030868
3.347330015,4.003447443
3.346548559,4.00204198
3.341632336,4.001927572
3.341236623,4.000078207
3.336059278,3.989027781
3.334453751,3.984286396
3.334252642,3.97966954
3.33243846,3.976470226
3.328379603,3.972980796
3.31827208,3.956416975
3.296226287,3.951554421
3.282395505,3.948057182
3.281260687,3.946460718
3.261738547,3.936145376
3.261500773,3.933948438
3.259354927,3.92348085
3.240798771,3.920600112
3.238547888,3.898163401
3.235528447,3.898030377
3.234010818,3.89685995
3.215637563,3.896656345
3.200850498,3.893577682
3.183839037,3.890280602
3.174059808,3.886266658
3.173186268,3.86611956
3.172602931,3.842779979
3.160168293,3.839677384
3.158663981,3.83650951
