id,name,bias
1,"Montgomery, Virginia",67232.0
2,"Powhatan, Virginia",54729.0
3,"Rockbridge, Virginia",9193.0
4,"Henrico, Virginia",174669.0
5,"Manassas Park (city), Virginia",52407.0
6,"Dickenson, Virginia",14286.0
7,"Northumberland, Virginia",14037.0
8,"Fairfax, Virginia",46885521.0
9,"Halifax, Virginia",15191.0
10,"Fluvanna, Virginia",10516.0
11,"Augusta, Virginia",148293.0
12,"Stafford, Virginia",1881180.0
13,"Loudoun, Virginia",19369.0
14,"Wise, Virginia",1493377.0
15,"Mathews, Virginia",1395.0
16,"Buchanan, Virginia",18311.0
17,"Waynesboro (city), Virginia",7192.0
18,"Albemarle, Virginia",407245.0
19,"Grayson, Virginia",54707.0
20,"Nelson, Virginia",63250.0
21,"Lexington (city), Virginia",1280.0
22,"Russell, Virginia",422799.0
23,"Southampton, Virginia",720083.0
24,"Westmoreland, Virginia",708.0
25,"Patrick, Virginia",9050.0
26,"Franklin, Virginia",364745.0
27,"Lee, Virginia",14539.0
28,"Campbell, Virginia",19666.0
29,"Scott, Virginia",48424.0
30,"Dinwiddie, Virginia",31104.0
31,"Carroll, Virginia",220220.0
32,"Accomack, Virginia",6980.0
33,"Northampton, Virginia",7774.0
34,"Lunenburg, Virginia",94713.0
35,"Lancaster, Virginia",4060.0
36,"Buckingham, Virginia",2785.0
37,"Henry, Virginia",39100.0
38,"Culpeper, Virginia",30633.0
39,"Winchester (city), Virginia",368664.0
40,"Orange, Virginia",115631.0
41,"Chesterfield, Virginia",283815.0
42,"Fauquier, Virginia",929709.0
43,"Rockingham, Virginia",34375.0
44,"Amelia, Virginia",2473.0
45,"Mecklenburg, Virginia",403210.0
46,"Washington, Virginia",3975580.0
47,"Wythe, Virginia",19768.0
48,"Louisa, Virginia",75321.0
49,"Shenandoah, Virginia",2132838.0
50,"Smyth, Virginia",556085.0
51,"Richmond, Virginia",18414070.0
52,"Greensville, Virginia",104537.0
53,"Charles City, Virginia",346.0
54,"Radford (city), Virginia",119276.0
55,"Cumberland, Virginia",7959.0
56,"Warren, Virginia",2391513.0
57,"Brunswick, Virginia",54036.0
58,"Page, Virginia",155833.0
59,"Charlotte, Virginia",2915.0
60,"Highland, Virginia",87.0
61,"Giles, Virginia",422068.0
62,"New Kent, Virginia",49537.0
63,"Pulaski, Virginia",3222567.0
64,"Caroline, Virginia",166788.0
65,"Virginia Beach (city), Virginia",3024426.0
66,"Bedford, Virginia",35745.0
67,"Pittsylvania, Virginia",6006.0
68,"Prince William, Virginia",10799147.0
69,"Botetourt, Virginia",239896.0
70,"Isle of Wight, Virginia",180634.0
71,"Goochland, Virginia",4363.0
72,"Frederick, Virginia",951765.0
73,"Bland, Virginia",5874.0
74,"Hanover, Virginia",59473.0
75,"Chesapeake (city), Virginia",1592073.0
76,"Essex, Virginia",100464.0
77,"Sussex, Virginia",68859.0
78,"Madison, Virginia",11015.0
79,"Middlesex, Virginia",1441.0
80,"Bath, Virginia",7114.0
81,"Arlington, Virginia",2671904.0
82,"Nottoway, Virginia",34339.0
83,"Greene, Virginia",69353.0
84,"Covington (city), Virginia",16.0
85,"Tazewell, Virginia",7188005.0
86,"Charlottesville (city), Virginia",65575.0
87,"Craig, Virginia",2232.0
88,"Alleghany, Virginia",222041.0
89,"Gloucester, Virginia",164308.0
90,"Norfolk (city), Virginia",41902.0
91,"Suffolk (city), Virginia",217398.0
92,"Clarke, Virginia",29858.0
93,"Petersburg (city), Virginia",1099045.0
94,"Surry, Virginia",257.0
95,"Falls Church (city), Virginia",1684.0
96,"Rappahannock, Virginia",3528.0
97,"Galax (city), Virginia",1361.0
98,"Martinsville (city), Virginia",10047.0
99,"James City, Virginia",247140.0
100,"Danville (city), Virginia",198839.0
101,"Amherst, Virginia",3309.0
102,"Harrisonburg (city), Virginia",5041.0
103,"Fredericksburg (city), Virginia",183611.0
104,"Roanoke, Virginia",5844555.0
105,"Appomattox, Virginia",9515.0
106,"Portsmouth (city), Virginia",128450.0
107,"Newport News (city), Virginia",2184312.0
108,"Spotsylvania, Virginia",2534881.0
109,"Salem (city), Virginia",52900.0
110,"Staunton (city), Virginia",41203.0
111,"Bristol (city), Virginia",193111.0
112,"Williamsburg (city), Virginia",2243.0
113,"Floyd, Virginia",110821.0
114,"Alexandria (city), Virginia",227474.0
115,"Norton (city), Virginia",9.0
116,"Lynchburg (city), Virginia",136168.0
117,"York, Virginia",319655.0
118,"Emporia (city), Virginia",4693.0
119,"Poquoson (city), Virginia",1550.0
120,"Hopewell (city), Virginia",1066.0
121,"Buena Vista (city), Virginia",358.0
122,"Colonial Heights (city), Virginia",120147.0
123,"Logan, West Virginia",35198.0
124,"Hardy, West Virginia",18567.0
125,"Tucker, West Virginia",18.0
126,"Fayette, West Virginia",1685.0
127,"Hancock, West Virginia",24192.0
128,"Jefferson, West Virginia",7074.0
129,"Harrison, West Virginia",2723661.0
130,"Wayne, West Virginia",1604.0
131,"Grant, West Virginia",44688.0
132,"Raleigh, West Virginia",3811111.0
133,"Mercer, West Virginia",1076688.0
134,"Boone, West Virginia",23467.0
135,"Preston, West Virginia",92793.0
136,"Monroe, West Virginia",6768.0
137,"McDowell, West Virginia",29653.0
138,"Randolph, West Virginia",91367.0
139,"Monongalia, West Virginia",133858.0
140,"Wood, West Virginia",1120896.0
141,"Putnam, West Virginia",14851.0
142,"Kanawha, West Virginia",12350454.0
143,"Cabell, West Virginia",1243074.0
144,"Brooke, West Virginia",208.0
145,"Marshall, West Virginia",8180.0
146,"Morgan, West Virginia",15706.0
147,"Pendleton, West Virginia",294.0
148,"Barbour, West Virginia",395.0
149,"Calhoun, West Virginia",1105.0
150,"Jackson, West Virginia",60434.0
151,"Taylor, West Virginia",106.0
152,"Mingo, West Virginia",52908.0
153,"Mineral, West Virginia",131073.0
154,"Marion, West Virginia",713426.0
155,"Pocahontas, West Virginia",22387.0
156,"Webster, West Virginia",8167.0
157,"Mason, West Virginia",3487.0
158,"Braxton, West Virginia",12463.0
159,"Upshur, West Virginia",19750.0
160,"Clay, West Virginia",9399.0
161,"Wyoming, West Virginia",1918.0
162,"Roane, West Virginia",8537.0
163,"Wetzel, West Virginia",4791.0
164,"Gilmer, West Virginia",42912.0
165,"Nicholas, West Virginia",58359.0
166,"Hampshire, West Virginia",126960.0
167,"Ohio, West Virginia",237558.0
168,"Berkeley, West Virginia",2923419.0
169,"Greenbrier, West Virginia",123284.0
170,"Pleasants, West Virginia",2290.0
171,"Summers, West Virginia",6884.0
172,"Ritchie, West Virginia",7939.0
173,"Wirt, West Virginia",90.0
174,"Tyler, West Virginia",2284.0
175,"Lewis, West Virginia",68406.0
176,"Lincoln, West Virginia",427.0
177,"Doddridge, West Virginia",3094.0
178,"Westmoreland, Pennsylvania",148950.0
179,"Delaware, Pennsylvania",128633978.0
180,"Carbon, Pennsylvania",2562520.0
181,"Venango, Pennsylvania",43772.0
182,"Washington, Pennsylvania",28642.0
183,"Lebanon, Pennsylvania",7145254.0
184,"Montgomery, Pennsylvania",330569.0
185,"Perry, Pennsylvania",31633.0
186,"Cambria, Pennsylvania",236465.0
187,"Allegheny, Pennsylvania",966367.0
188,"Lackawanna, Pennsylvania",272024.0
189,"Berks, Pennsylvania",40304434.0
190,"Beaver, Pennsylvania",940953.0
191,"Wayne, Pennsylvania",44262.0
192,"Susquehanna, Pennsylvania",21805.0
193,"Bucks, Pennsylvania",104428405.0
