经度,纬度,年份,数目,地名,药物
-75.7182,37.6917,2010,1,"Accomack, Virginia",Propoxyphene
-83.4713,38.8559,2010,9,"Adams, Ohio",Morphine
-77.1569,39.8826,2010,2,"Adams, Pennsylvania",Methadone
-77.0861,38.8184,2010,5,"Alexandria (city), Virginia",Heroin
-80.1873,40.4001,2010,5,"Allegheny, Pennsylvania",Hydromorphone
-86.2961,36.7956,2010,15,"Allen, Kentucky",Oxycodone
-86.2961,36.7956,2010,1,"Allen, Kentucky",Oxymorphone
-77.9882,37.3366,2010,1,"Amelia, Virginia",Heroin
-77.1011,38.8786,2010,41,"Arlington, Virginia",Heroin
-79.4603,40.9185,2010,1,"Armstrong, Pennsylvania",Dextropropoxyphene
-82.2818,40.9214,2010,45,"Ashland, Ohio",Oxycodone
-82.2818,40.9214,2010,2,"Ashland, Ohio",Oxymorphone
-80.6173,41.8567,2010,7,"Ashtabula, Ohio",Buprenorphine
-80.6173,41.8567,2010,21,"Ashtabula, Ohio",Hydrocodone
-82.1261,39.4005,2010,72,"Athens, Ohio",Heroin
-82.1261,39.4005,2010,1,"Athens, Ohio",Propoxyphene
-84.146,40.6513,2010,35,"Auglaize, Ohio",Heroin
-84.146,40.6513,2010,1,"Auglaize, Ohio",Methadone
-84.146,40.6513,2010,2,"Auglaize, Ohio",Propoxyphene
-79.9505,38.9783,2010,1,"Barbour, West Virginia",Oxycodone
-85.9264,37.0048,2010,3,"Barren, Kentucky",Morphine
-83.6156,38.1193,2010,1,"Bath, Kentucky",Buprenorphine
-83.6156,38.1193,2010,7,"Bath, Kentucky",Hydrocodone
-78.5075,40.2592,2010,3,"Bedford, Pennsylvania",Hydrocodone
-79.7253,37.3866,2010,1,"Bedford, Virginia",Meperidine
-83.8774,36.5942,2010,148,"Bell, Kentucky",Oxycodone
-83.8774,36.5942,2010,3,"Bell, Kentucky",Oxymorphone
-77.9779,39.458,2010,6,"Berkeley, West Virginia",Hydrocodone
-76.1391,40.3495,2010,5,"Berks, Pennsylvania",Morphine
-81.1501,37.1521,2010,1,"Bland, Virginia",Propoxyphene
-84.6731,38.9472,2010,56,"Boone, Kentucky",Oxycodone
-81.7138,37.9713,2010,1,"Boone, West Virginia",Fentanyl
-84.0666,38.6818,2010,5,"Bracken, Kentucky",Oxycodone
-80.8979,38.5632,2010,35,"Braxton, West Virginia",Hydrocodone
-83.4585,37.4215,2010,13,"Breathitt, Kentucky",Methadone
-86.6304,37.8312,2010,1,"Breckinridge, Kentucky",Morphine
-83.7878,38.8673,2010,1,"Brown, Ohio",Fentanyl
-83.7878,38.8673,2010,14,"Brown, Ohio",Heroin
-78.6333,37.494,2010,1,"Buckingham, Virginia",Heroin
-78.6333,37.494,2010,2,"Buckingham, Virginia",Methadone
-74.8852,40.1015,2010,5,"Bucks, Pennsylvania",Hydromorphone
-74.8852,40.1015,2010,32,"Bucks, Pennsylvania",Methadone
-85.7146,38.0645,2010,2,"Bullitt, Kentucky",Hydromorphone
-84.5652,39.3938,2010,15,"Butler, Ohio",Buprenorphine
-84.5652,39.3938,2010,80,"Butler, Ohio",Hydrocodone
-79.74,40.9505,2010,9,"Butler, Pennsylvania",Oxycodone
