经度,纬度,年份,数目,地名
-75.7182,37.6917,2010,84,"Accomack, Virginia"
-83.4713,38.8559,2010,527,"Adams, Ohio"
-77.1569,39.8826,2010,334,"Adams, Pennsylvania"
-77.0861,38.8184,2010,427,"Alexandria (city), Virginia"
-80.1873,40.4001,2010,8500,"Allegheny, Pennsylvania"
-86.2961,36.7956,2010,168,"Allen, Kentucky"
-77.9882,37.3366,2010,94,"Amelia, Virginia"
-77.1011,38.8786,2010,610,"Arlington, Virginia"
-79.4603,40.9185,2010,344,"Armstrong, Pennsylvania"
-82.2818,40.9214,2010,766,"Ashland, Ohio"
-80.6173,41.8567,2010,571,"Ashtabula, Ohio"
-82.1261,39.4005,2010,664,"Athens, Ohio"
-84.146,40.6513,2010,184,"Auglaize, Ohio"
-79.9505,38.9783,2010,16,"Barbour, West Virginia"
-85.9264,37.0048,2010,383,"Barren, Kentucky"
-83.6156,38.1193,2010,81,"Bath, Kentucky"
-78.5075,40.2592,2010,150,"Bedford, Pennsylvania"
-79.7253,37.3866,2010,177,"Bedford, Virginia"
-83.8774,36.5942,2010,387,"Bell, Kentucky"
-77.9779,39.458,2010,722,"Berkeley, West Virginia"
-76.1391,40.3495,2010,2146,"Berks, Pennsylvania"
-81.1501,37.1521,2010,25,"Bland, Virginia"
-84.6731,38.9472,2010,299,"Boone, Kentucky"
-81.7138,37.9713,2010,90,"Boone, West Virginia"
-84.0666,38.6818,2010,28,"Bracken, Kentucky"
-80.8979,38.5632,2010,167,"Braxton, West Virginia"
-83.4585,37.4215,2010,162,"Breathitt, Kentucky"
-86.6304,37.8312,2010,78,"Breckinridge, Kentucky"
-83.7878,38.8673,2010,213,"Brown, Ohio"
-78.6333,37.494,2010,136,"Buckingham, Virginia"
-74.8852,40.1015,2010,6140,"Bucks, Pennsylvania"
-85.7146,38.0645,2010,316,"Bullitt, Kentucky"
-84.5652,39.3938,2010,1825,"Butler, Ohio"
-79.74,40.9505,2010,310,"Butler, Pennsylvania"
-82.3188,38.4154,2010,517,"Cabell, West Virginia"
-81.0962,38.8015,2010,8,"Calhoun, West Virginia"
-78.8446,40.4111,2010,483,"Cambria, Pennsylvania"
-78.1989,41.4148,2010,7,"Cameron, Pennsylvania"
-75.7009,40.8289,2010,209,"Carbon, Pennsylvania"
-77.3473,38.0533,2010,138,"Caroline, Virginia"
-85.0681,38.6098,2010,99,"Carroll, Kentucky"
-81.0031,40.5209,2010,57,"Carroll, Ohio"
-82.9371,38.3318,2010,354,"Carter, Kentucky"
-84.9875,37.4551,2010,148,"Casey, Kentucky"
-78.4856,38.0374,2010,264,"Charlottesville (city), Virginia"
-76.3024,36.6778,2010,881,"Chesapeake (city), Virginia"
-75.885,39.9639,2010,1979,"Chester, Pennsylvania"
-77.6492,37.506,2010,1331,"Chesterfield, Virginia"
-87.4875,37.12,2010,439,"Christian, Kentucky"
-79.3803,41.2106,2010,221,"Clarion, Pennsylvania"
-78.7749,41.1062,2010,218,"Clearfield, Pennsylvania"
-84.1532,39.2325,2010,752,"Clermont, Ohio"
-83.8109,39.3224,2010,455,"Clinton, Ohio"
-77.3969,37.265,2010,190,"Colonial Heights (city), Virginia"
-76.4969,41.0177,2010,131,"Columbia, Pennsylvania"
-80.675,40.8871,2010,341,"Columbiana, Ohio"
-82.7773,40.7392,2010,218,"Crawford, Ohio"
-79.8364,41.8176,2010,433,"Crawford, Pennsylvania"
-88.1411,37.2198,2010,34,"Crittenden, Kentucky"
-81.5348,41.4948,2010,3556,"Cuyahoga, Ohio"
-79.4088,36.5831,2010,332,"Danville (city), Virginia"
-76.8843,40.2752,2010,2575,"Dauphin, Pennsylvania"
-86.9805,37.7892,2010,591,"Daviess, Kentucky"
-84.2855,41.3259,2010,589,"Defiance, Ohio"
-83.08,40.1679,2010,1774,"Delaware, Ohio"
-75.4338,39.894,2010,4534,"Delaware, Pennsylvania"
-82.3763,37.1026,2010,103,"Dickenson, Virginia"
-80.7407,39.1254,2010,16,"Doddridge, West Virginia"
-82.808,41.4011,2010,552,"Erie, Ohio"
-79.8333,42.2134,2010,1570,"Erie, Pennsylvania"
-76.8665,37.9185,2010,94,"Essex, Virginia"
-77.1579,38.8514,2010,3337,"Fairfax, Virginia"
-85.3197,37.1803,2010,88,"Adair, Kentucky"
-78.5222,38.041,2010,282,"Albemarle, Virginia"
-79.9795,37.8865,2010,154,"Alleghany, Virginia"
-84.0848,40.8305,2010,580,"Allen, Ohio"
-79.1058,37.4487,2010,411,"Amherst, Virginia"
-79.0087,38.1939,2010,344,"Augusta, Virginia"
-79.5709,38.1948,2010,40,"Bath, Virginia"
-80.4738,40.5989,2010,625,"Beaver, Pennsylvania"
-81.1313,40.1621,2010,231,"Belmont, Ohio"
-84.1101,38.1425,2010,161,"Bourbon, Kentucky"
-82.7816,38.3354,2010,504,"Boyd, Kentucky"
-84.7903,37.5855,2010,200,"Boyle, Kentucky"
-82.1607,36.618,2010,276,"Bristol (city), Virginia"
-81.8015,37.2473,2010,185,"Buchanan, Virginia"
-79.3565,37.7316,2010,44,"Buena Vista (city), Virginia"
-88.4381,36.5892,2010,97,"Calloway, Kentucky"
-84.4815,39.0401,2010,852,"Campbell, Kentucky"
-79.2895,37.2338,2010,209,"Campbell, Virginia"
-80.6997,36.6771,2010,166,"Carroll, Virginia"
-77.7057,40.98,2010,1028,"Centre, Pennsylvania"
-83.9635,40.2174,2010,214,"Champaign, Ohio"
-84.1908,38.0014,2010,214,"Clark, Kentucky"
-77.9823,39.1508,2010,35,"Clarke, Virginia"
