year,loc_x,loc_y,estm_count,real_count
0,-80.4405,37.0675,673.2813922,691
1,-80.4405,37.0675,647.5056835,761
2,-80.4405,37.0675,715.4956086,792
3,-80.4405,37.0675,878.9843904,963
4,-80.4405,37.0675,861.171022,849
5,-80.4405,37.0675,889.9848925,980
6,-80.4405,37.0675,960.7354625,1008
0,-77.9267,37.5427,361.7962744,197
1,-77.9267,37.5427,220.7171038,112
2,-77.9267,37.5427,113.6250468,77
3,-77.9267,37.5427,124.5407418,117
4,-77.9267,37.5427,76.00535697,126
5,-77.9267,37.5427,42.74116359,98
6,-77.9267,37.5427,72.65584689,111
0,-79.5431,37.6301,158.6120109,186
1,-79.5431,37.6301,170.3736656,133
2,-79.5431,37.6301,191.5851884,253
3,-79.5431,37.6301,261.7639017,296
4,-79.5431,37.6301,239.1783343,266
5,-79.5431,37.6301,239.4080963,253
6,-79.5431,37.6301,254.6722237,306
0,-77.4322,37.6274,1036.877097,1154
1,-77.4322,37.6274,1141.622634,1161
2,-77.4322,37.6274,1189.683777,1332
3,-77.4322,37.6274,1275.112806,1402
4,-77.4322,37.6274,1533.659487,1489
5,-77.4322,37.6274,1716.106561,1688
6,-77.4322,37.6274,1906.314949,2128
0,-77.4448,38.7717,107.4010384,171
1,-77.4448,38.7717,110.3161841,113
2,-77.4448,38.7717,58.37740833,35
3,-77.4448,38.7717,105.6518352,49
4,-77.4448,38.7717,42.81408178,0
5,-77.4448,38.7717,27.78384579,13
6,-77.4448,38.7717,18.44029208,9
0,-82.3763,37.1026,59.00390458,103
1,-82.3763,37.1026,49.7396573,104
2,-82.3763,37.1026,47.3754409,66
3,-82.3763,37.1026,107.129781,123
4,-82.3763,37.1026,125.1462538,172
5,-82.3763,37.1026,256.7477217,125
6,-82.3763,37.1026,218.8206983,134
0,-76.3477,37.8832,61.51157645,32
1,-76.3477,37.8832,67.49451788,52
2,-76.3477,37.8832,42.73016312,50
3,-76.3477,37.8832,39.76896994,64
4,-76.3477,37.8832,51.85532448,49
5,-76.3477,37.8832,76.12707116,153
6,-76.3477,37.8832,105.654507,150
0,-77.1579,38.8514,3485.745461,3337
1,-77.1579,38.8514,4099.186256,3833
2,-77.1579,38.8514,3843.003948,3920
3,-77.1579,38.8514,3655.861813,3515
4,-77.1579,38.8514,3305.908513,3173
5,-77.1579,38.8514,3556.285958,3153
6,-77.1579,38.8514,3925.716819,4011
0,-78.7284,36.839,322.7998219,277
1,-78.7284,36.839,207.9974961,261
2,-78.7284,36.839,362.5709403,368
3,-78.7284,36.839,346.310001,357
4,-78.7284,36.839,196.8047255,254
5,-78.7284,36.839,219.3397335,150
6,-78.7284,36.839,181.5832177,157
0,-78.1638,37.7533,53.85389622,50
1,-78.1638,37.7533,99.9305335,62
2,-78.1638,37.7533,112.5994209,35
3,-78.1638,37.7533,68.15326156,52
4,-78.1638,37.7533,27.09197562,53
5,-78.1638,37.7533,21.21750254,48
6,-78.1638,37.7533,64.69471635,117
0,-79.0087,38.1939,340.987595,344
1,-79.0087,38.1939,278.9190698,324
2,-79.0087,38.1939,350.0205536,308
3,-79.0087,38.1939,228.3708601,246
4,-79.0087,38.1939,313.2718327,425
5,-79.0087,38.1939,281.0058468,238
6,-79.0087,38.1939,437.5565723,469
0,-77.4655,38.3319,640.9535024,583
1,-77.4655,38.3319,668.8416509,696
2,-77.4655,38.3319,795.1539933,801
3,-77.4655,38.3319,667.3715032,713
4,-77.4655,38.3319,678.5192279,622
5,-77.4655,38.3319,748.5755467,665
6,-77.4655,38.3319,741.5110227,856
0,-77.4712,39.0302,932.5871858,902
1,-77.4712,39.0302,961.424751,996
2,-77.4712,39.0302,880.1438519,861
3,-77.4712,39.0302,898.2821016,922
4,-77.4712,39.0302,827.9678875,849
5,-77.4712,39.0302,916.1241476,833
6,-77.4712,39.0302,681.5481085,755
0,-82.7774,36.8615,800.7545081,514
1,-82.7774,36.8615,1791.570256,578
2,-82.7774,36.8615,283.4636339,722
3,-82.7774,36.8615,328.9589391,819
4,-82.7774,36.8615,334.950499,714
5,-82.7774,36.8615,1233.372918,622
6,-82.7774,36.8615,829.4161136,366
0,-76.2883,37.4984,49.85849525,40
1,-76.2883,37.4984,31.19489528,32
2,-76.2883,37.4984,62.08173409,66
3,-76.2883,37.4984,58.11175811,64
4,-76.2883,37.4984,38.01217003,55
5,-76.2883,37.4984,68.82350725,74
6,-76.2883,37.4984,54.63663326,46
0,-81.8015,37.2473,53.77872178,185
1,-81.8015,37.2473,231.2502195,161
2,-81.8015,37.2473,358.0860993,217
3,-81.8015,37.2473,71.84698988,235
4,-81.8015,37.2473,75.34929974,190
5,-81.8015,37.2473,129.8516932,306
6,-81.8015,37.2473,505.0074114,236
0,-78.9012,38.0673,90.18074722,93
1,-78.9012,38.0673,-1.539842718,0
2,-78.9012,38.0673,-1.776168222,11
3,-78.9012,38.0673,182.2978252,273
4,-78.9012,38.0673,-6.088989722,0
5,-78.9012,38.0673,9.85332904,0
6,-78.9012,38.0673,1.253980385,0
0,-78.5222,38.041,291.8049025,282
