year,loc_x,loc_y,real_count
0,-80.4405,37.0675,691
1,-80.4405,37.0675,761
2,-80.4405,37.0675,792
3,-80.4405,37.0675,963
4,-80.4405,37.0675,849
5,-80.4405,37.0675,980
6,-80.4405,37.0675,1008
0,-77.9267,37.5427,197
1,-77.9267,37.5427,112
2,-77.9267,37.5427,77
3,-77.9267,37.5427,117
4,-77.9267,37.5427,126
5,-77.9267,37.5427,98
6,-77.9267,37.5427,111
0,-79.5431,37.6301,186
1,-79.5431,37.6301,133
2,-79.5431,37.6301,253
3,-79.5431,37.6301,296
4,-79.5431,37.6301,266
5,-79.5431,37.6301,253
6,-79.5431,37.6301,306
0,-77.4322,37.6274,1154
1,-77.4322,37.6274,1161
2,-77.4322,37.6274,1332
3,-77.4322,37.6274,1402
4,-77.4322,37.6274,1489
5,-77.4322,37.6274,1688
6,-77.4322,37.6274,2128
0,-77.4448,38.7717,171
1,-77.4448,38.7717,113
2,-77.4448,38.7717,35
3,-77.4448,38.7717,49
4,-77.4448,38.7717,0
5,-77.4448,38.7717,13
6,-77.4448,38.7717,9
0,-82.3763,37.1026,103
1,-82.3763,37.1026,104
2,-82.3763,37.1026,66
3,-82.3763,37.1026,123
4,-82.3763,37.1026,172
5,-82.3763,37.1026,125
6,-82.3763,37.1026,134
0,-76.3477,37.8832,32
1,-76.3477,37.8832,52
2,-76.3477,37.8832,50
3,-76.3477,37.8832,64
4,-76.3477,37.8832,49
5,-76.3477,37.8832,153
6,-76.3477,37.8832,150
0,-77.1579,38.8514,3337
1,-77.1579,38.8514,3833
2,-77.1579,38.8514,3920
3,-77.1579,38.8514,3515
4,-77.1579,38.8514,3173
5,-77.1579,38.8514,3153
6,-77.1579,38.8514,4011
0,-78.7284,36.839,277
1,-78.7284,36.839,261
2,-78.7284,36.839,368
3,-78.7284,36.839,357
4,-78.7284,36.839,254
5,-78.7284,36.839,150
6,-78.7284,36.839,157
0,-78.1638,37.7533,50
1,-78.1638,37.7533,62
2,-78.1638,37.7533,35
3,-78.1638,37.7533,52
4,-78.1638,37.7533,53
5,-78.1638,37.7533,48
6,-78.1638,37.7533,117
0,-79.0087,38.1939,344
1,-79.0087,38.1939,324
2,-79.0087,38.1939,308
3,-79.0087,38.1939,246
4,-79.0087,38.1939,425
5,-79.0087,38.1939,238
6,-79.0087,38.1939,469
0,-77.4655,38.3319,583
1,-77.4655,38.3319,696
2,-77.4655,38.3319,801
3,-77.4655,38.3319,713
4,-77.4655,38.3319,622
5,-77.4655,38.3319,665
6,-77.4655,38.3319,856
0,-77.4712,39.0302,902
1,-77.4712,39.0302,996
2,-77.4712,39.0302,861
3,-77.4712,39.0302,922
4,-77.4712,39.0302,849
5,-77.4712,39.0302,833
6,-77.4712,39.0302,755
0,-82.7774,36.8615,514
1,-82.7774,36.8615,578
2,-82.7774,36.8615,722
3,-82.7774,36.8615,819
4,-82.7774,36.8615,714
5,-82.7774,36.8615,622
6,-82.7774,36.8615,366
0,-76.2883,37.4984,40
1,-76.2883,37.4984,32
2,-76.2883,37.4984,66
3,-76.2883,37.4984,64
4,-76.2883,37.4984,55
5,-76.2883,37.4984,74
6,-76.2883,37.4984,46
0,-81.8015,37.2473,185
1,-81.8015,37.2473,161
2,-81.8015,37.2473,217
3,-81.8015,37.2473,235
4,-81.8015,37.2473,190
5,-81.8015,37.2473,306
6,-81.8015,37.2473,236
0,-78.9012,38.0673,93
1,-78.9012,38.0673,0
2,-78.9012,38.0673,11
3,-78.9012,38.0673,273
4,-78.9012,38.0673,0
5,-78.9012,38.0673,0
6,-78.9012,38.0673,0
0,-78.5222,38.041,282
1,-78.5222,38.041,239
2,-78.5222,38.041,172
3,-78.5222,38.041,176
4,-78.5222,38.041,269
5,-78.5222,38.041,222
6,-78.5222,38.041,286
0,-81.6257,36.6015,103
1,-81.6257,36.6015,76
2,-81.6257,36.6015,82
3,-81.6257,36.6015,113
4,-81.6257,36.6015,87
5,-81.6257,36.6015,75
6,-81.6257,36.6015,131
0,-78.8828,37.913000000000004,94
1,-78.8828,37.913000000000004,73
2,-78.8828,37.913000000000004,61
3,-78.8828,37.913000000000004,104
4,-78.8828,37.913000000000004,91
5,-78.8828,37.913000000000004,38
6,-78.8828,37.913000000000004,161
0,-79.444,37.7825,17
1,-79.444,37.7825,0
2,-79.444,37.7825,0
3,-79.444,37.7825,40
4,-79.444,37.7825,0
5,-79.444,37.7825,0
6,-79.444,37.7825,0
0,-82.2961,36.9791,270
1,-82.2961,36.9791,297
2,-82.2961,36.9791,378
3,-82.2961,36.9791,317
4,-82.2961,36.9791,346
5,-82.2961,36.9791,205
6,-82.2961,36.9791,189
0,-76.8978,36.9052,775
1,-76.8978,36.9052,23
2,-76.8978,36.9052,36
3,-76.8978,36.9052,785
4,-76.8978,36.9052,76
5,-76.8978,36.9052,40
6,-76.8978,36.9052,83
0,-76.8229,38.0941,107
1,-76.8229,38.0941,118
2,-76.8229,38.0941,143
3,-76.8229,38.0941,96
4,-76.8229,38.0941,142
5,-76.8229,38.0941,132
6,-76.8229,38.0941,159
0,-80.3578,36.7168,98
1,-80.3578,36.7168,131
2,-80.3578,36.7168,169
3,-80.3578,36.7168,109
4,-80.3578,36.7168,119
5,-80.3578,36.7168,123
6,-80.3578,36.7168,276
0,-79.9917,36.8293,255
1,-79.9917,36.8293,212
2,-79.9917,36.8293,319
3,-79.9917,36.8293,509
4,-79.9917,36.8293,455
5,-79.9917,36.8293,374
6,-79.9917,36.8293,385
0,-83.1152,36.6871,108
1,-83.1152,36.6871,78
2,-83.1152,36.6871,186
3,-83.1152,36.6871,160
4,-83.1152,36.6871,213
5,-83.1152,36.6871,183
6,-83.1152,36.6871,233
0,-79.2895,37.2338,209
1,-79.2895,37.2338,190
2,-79.2895,37.2338,356
3,-79.2895,37.2338,205
4,-79.2895,37.2338,170
5,-79.2895,37.2338,87
6,-79.2895,37.2338,232
0,-82.7962,36.7196,353
1,-82.7962,36.7196,391
2,-82.7962,36.7196,339
3,-82.7962,36.7196,206
4,-82.7962,36.7196,484
5,-82.7962,36.7196,354
6,-82.7962,36.7196,328
0,-77.7219,36.9853,131
1,-77.7219,36.9853,110
2,-77.7219,36.9853,91
3,-77.7219,36.9853,117
4,-77.7219,36.9853,103
5,-77.7219,36.9853,72
6,-77.7219,36.9853,64
0,-80.6997,36.6771,166
1,-80.6997,36.6771,224
2,-80.6997,36.6771,282
3,-80.6997,36.6771,209
4,-80.6997,36.6771,248
5,-80.6997,36.6771,274
6,-80.6997,36.6771,362
0,-75.7182,37.6917,84
1,-75.7182,37.6917,164
2,-75.7182,37.6917,152
3,-75.7182,37.6917,122
4,-75.7182,37.6917,167
5,-75.7182,37.6917,98
6,-75.7182,37.6917,114
0,-75.8283,37.5295,0
1,-75.8283,37.5295,67
2,-75.8283,37.5295,88
3,-75.8283,37.5295,62
4,-75.8283,37.5295,81
5,-75.8283,37.5295,63
6,-75.8283,37.5295,81
0,-78.1283,36.9608,110
1,-78.1283,36.9608,85
2,-78.1283,36.9608,89
3,-78.1283,36.9608,74
4,-78.1283,36.9608,101
5,-78.1283,36.9608,57
6,-78.1283,36.9608,44
0,-76.538,37.7301,24
1,-76.538,37.7301,34
2,-76.538,37.7301,44
3,-76.538,37.7301,41
4,-76.538,37.7301,32
5,-76.538,37.7301,35
6,-76.538,37.7301,62
0,-78.6333,37.494,136
1,-78.6333,37.494,144
2,-78.6333,37.494,113
3,-78.6333,37.494,176
4,-78.6333,37.494,139
5,-78.6333,37.494,103
6,-78.6333,37.494,109
0,-79.7872,36.6871,164
1,-79.7872,36.6871,160
2,-79.7872,36.6871,260
3,-79.7872,36.6871,182
4,-79.7872,36.6871,278
5,-79.7872,36.6871,257
6,-79.7872,36.6871,214
0,-77.8267,38.416,492
1,-77.8267,38.416,528
2,-77.8267,38.416,586
3,-77.8267,38.416,470
4,-77.8267,38.416,448
5,-77.8267,38.416,288
6,-77.8267,38.416,419
0,-78.1745,39.1734,369
1,-78.1745,39.1734,12
2,-78.1745,39.1734,30
3,-78.1745,39.1734,454
4,-78.1745,39.1734,83
5,-78.1745,39.1734,15
6,-78.1745,39.1734,43
0,-78.1125,38.2484,156
1,-78.1125,38.2484,129
2,-78.1125,38.2484,198
3,-78.1125,38.2484,149
4,-78.1125,38.2484,173
5,-78.1125,38.2484,236
6,-78.1125,38.2484,176
0,-77.6492,37.506,1331
1,-77.6492,37.506,1586
2,-77.6492,37.506,2017
3,-77.6492,37.506,1964
4,-77.6492,37.506,2309
5,-77.6492,37.506,1805
6,-77.6492,37.506,1994
0,-77.6661,38.6355,418
1,-77.6661,38.6355,506
2,-77.6661,38.6355,642
3,-77.6661,38.6355,608
4,-77.6661,38.6355,404
5,-77.6661,38.6355,369
6,-77.6661,38.6355,296
0,-78.9061,38.6601,413
1,-78.9061,38.6601,460
2,-78.9061,38.6601,537
3,-78.9061,38.6601,646
4,-78.9061,38.6601,664
5,-78.9061,38.6601,476
6,-78.9061,38.6601,570
0,-77.9882,37.3366,94
1,-77.9882,37.3366,69
2,-77.9882,37.3366,78
3,-77.9882,37.3366,169
4,-77.9882,37.3366,91
5,-77.9882,37.3366,3
6,-77.9882,37.3366,12
0,-78.3908,36.666,171
1,-78.3908,36.666,163
2,-78.3908,36.666,371
3,-78.3908,36.666,206
4,-78.3908,36.666,166
5,-78.3908,36.666,135
6,-78.3908,36.666,199
0,-81.6382,36.666,321
1,-81.6382,36.666,474
2,-81.6382,36.666,455
3,-81.6382,36.666,406
4,-81.6382,36.666,419
5,-81.6382,36.666,361
6,-81.6382,36.666,469
0,-81.192,36.8862,406
1,-81.192,36.8862,495
2,-81.192,36.8862,554
3,-81.192,36.8862,596
4,-81.192,36.8862,615
5,-81.192,36.8862,611
6,-81.192,36.8862,492
0,-77.9061,38.0068,184
1,-77.9061,38.0068,145
2,-77.9061,38.0068,194
3,-77.9061,38.0068,112
4,-77.9061,38.0068,191
