Year,ID,Name,InnerIndex,HC01_VC04,HC01_VC03,HC01_VC37,HC01_VC85,HC01_VC86,HC01_VC85,HC01_VC80
Year,ID,Name,InnerIndex,Families - 1,All Households - 1 Total,Happy Marriage - 2,< 9th - 4_left,9th - 12th - 4_right,25 year+ total - 4 Total,College - 5
2010,0,"Montgomery, Virginia",469.2853111451219,19276,34369,16360,2237,3479,2237,30227
2010,1,"Powhatan, Virginia",298.45756641600923,6836,8637,5940,1096,3128,1096,611
2010,2,"Rockbridge, Virginia",120.19256966049723,6588,9372,5487,1351,1940,1351,1351
2010,3,"Henrico, Virginia",592.3850258115232,78361,121767,60779,7840,14167,7840,18900
2010,4,"Manassas Park (city), Virginia",26.105990572263686,3256,4206,2695,909,832,909,711
2010,5,"Dickenson, Virginia",70.45487068936427,4125,6170,3459,2140,1869,2140,601
2010,6,"Northumberland, Virginia",96.55712280177003,3700,5478,3277,542,997,542,169
2010,7,"Fairfax, Virginia",1370.0715754959208,266580,381768,241348,30164,27227,30164,82157
2010,8,"Halifax, Virginia",143.1044783317928,9767,14650,7454,2894,4024,2894,1619
2010,9,"Fluvanna, Virginia",157.73023344792057,6842,9128,5767,1081,1519,1081,911
2010,10,"Augusta, Virginia",462.19076901926354,20340,27909,17915,3039,5462,3039,2720
2010,11,"Stafford, Virginia",1777.5998237334923,32620,40183,28773,1911,4529,1911,8135
2010,12,"Loudoun, Virginia",877.404327270377,71188,95330,66887,5713,6367,5713,18160
2010,13,"Wise, Virginia",735.9641187955699,10907,15750,9297,3752,4768,3752,1844
2010,14,"Mathews, Virginia",63.86215115279562,2726,3773,1988,343,692,343,285
2010,15,"Buchanan, Virginia",150.3857965372593,6379,9123,5181,3686,2879,3686,996
2010,16,"Waynesboro (city), Virginia",19.37847196378483,5446,8546,3937,1179,1505,1179,819
2010,17,"Albemarle, Virginia",96.17061112546361,24304,37459,20871,2626,3145,2626,11797
2010,18,"Grayson, Virginia",198.20659166672277,4496,6858,3822,1474,1644,1474,454
2010,19,"Nelson, Virginia",286.07806834759407,4522,6534,3677,1116,1377,1116,426
2010,20,"Lexington (city), Virginia",19.17478119359857,973,2108,872,280,280,280,3172
2010,21,"Russell, Virginia",533.9206176244744,8106,11529,7126,3311,2599,3311,1272
2010,22,"Southampton, Virginia",646.0541987130473,4658,6571,3819,1421,2060,1421,739
2010,23,"Westmoreland, Virginia",115.20170522170375,4694,7135,3942,855,2076,855,624
2010,24,"Patrick, Virginia",94.2576803490761,5091,7344,4365,1677,1825,1677,935
2010,25,"Franklin, Virginia",451.49307820989804,16665,23355,13810,3495,4285,3495,2589
2010,26,"Lee, Virginia",69.37579136269237,6828,9836,5587,2664,2483,2664,1090
2010,27,"Campbell, Virginia",80.42764282610658,14985,22005,11890,2528,3910,2528,3254
2010,28,"Scott, Virginia",711.5256139731248,6650,9610,5642,2568,1869,2568,916
2010,29,"Dinwiddie, Virginia",173.11165480744037,7125,9800,5420,1871,2384,1871,1033
2010,30,"Carroll, Virginia",464.10088987605513,8893,12818,7742,2688,3414,2688,1276
2010,31,"Accomack, Virginia",105.65312522067686,9054,14085,7446,1919,3191,1919,1212
2010,32,"Northampton, Virginia",26.346110038778768,3207,5088,2414,919,1073,919,311
2010,33,"Lunenburg, Virginia",63.0654064250715,3002,4515,2606,1107,1528,1107,692
2010,34,"Lancaster, Virginia",44.853410203657994,3656,5421,3012,454,1147,454,267
2010,35,"Buckingham, Virginia",196.9716453803722,3338,4859,3438,1506,3788,1506,228
2010,36,"Henry, Virginia",260.73387891376035,15700,22909,11704,4668,6243,4668,2253
2010,37,"Culpeper, Virginia",248.76428745057342,11934,15834,10411,2204,3086,2204,1973
2010,38,"Winchester (city), Virginia",324.4835177631277,5579,10221,4499,1697,1772,1697,1722
2010,39,"Orange, Virginia",436.336049238459,9308,12669,7790,1340,2467,1340,1002
2010,40,"Chesterfield, Virginia",1998.0407936309905,84586,112404,69210,6752,14485,6752,21802
2010,41,"Fauquier, Virginia",426.938572454636,16576,22369,14608,1660,2789,1660,3547
2010,42,"Rockingham, Virginia",303.17702686586154,21677,29701,18411,4627,6512,4627,4017
2010,43,"Amelia, Virginia",48.59206983583425,3429,4901,2779,627,1269,627,328
2010,44,"Mecklenburg, Virginia",538.7067347016035,8107,12594,6528,2099,3815,2099,1351
2010,45,"Washington, Virginia",187.70105655907477,16077,22711,13044,3337,4339,3337,2937
