id,name,bias
0,"Montgomery, Virginia",6869076.557033176
1,"Powhatan, Virginia",48276.512995501966
2,"Rockbridge, Virginia",904727.7081448368
3,"Henrico, Virginia",40596483.20049181
4,"Manassas Park (city), Virginia",47738.62591618497
5,"Dickenson, Virginia",169912.13843411877
6,"Northumberland, Virginia",98203.9695204233
7,"Fairfax, Virginia",41999385.428853996
8,"Halifax, Virginia",1114297.1927083735
9,"Fluvanna, Virginia",13913.246786331922
10,"Augusta, Virginia",966504.9775790705
11,"Stafford, Virginia",2065704.0712175919
12,"Loudoun, Virginia",8427645.483962476
13,"Wise, Virginia",8673544.42885429
14,"Mathews, Virginia",59153.88710535048
15,"Buchanan, Virginia",920665.7728462475
16,"Waynesboro (city), Virginia",58748.0682702798
17,"Albemarle, Virginia",716575.684523266
18,"Grayson, Virginia",152933.34761343367
19,"Nelson, Virginia",46942.80780230742
20,"Lexington (city), Virginia",1410.5796529409492
21,"Russell, Virginia",257843.8573611739
22,"Southampton, Virginia",1247768.772441163
23,"Westmoreland, Virginia",339029.7854464805
24,"Patrick, Virginia",376397.27206570166
25,"Franklin, Virginia",4097348.4201051164
26,"Lee, Virginia",324630.7445141815
27,"Campbell, Virginia",732529.5912495542
28,"Scott, Virginia",2103186.0532677164
29,"Dinwiddie, Virginia",52138.74011017601
30,"Carroll, Virginia",298064.0638401548
31,"Accomack, Virginia",214645.36403793326
32,"Northampton, Virginia",200761.7691264263
33,"Lunenburg, Virginia",369305.1524000793
34,"Lancaster, Virginia",19363.8725986283
35,"Buckingham, Virginia",162742.19110697036
36,"Henry, Virginia",960558.876424318
37,"Culpeper, Virginia",2044910.8983056955
38,"Winchester (city), Virginia",376257.79467631935
39,"Orange, Virginia",119296.19044964405
40,"Chesterfield, Virginia",44376524.36246952
41,"Fauquier, Virginia",1735233.0072364854
42,"Rockingham, Virginia",3217958.9878926408
43,"Amelia, Virginia",82577.30851743178
44,"Mecklenburg, Virginia",3409771.4977256316
45,"Washington, Virginia",50773747.60204382
46,"Wythe, Virginia",3499466.563191097
47,"Louisa, Virginia",94949.9361169821
48,"Shenandoah, Virginia",1430170.9975387848
49,"Smyth, Virginia",3804864.4062054614
50,"Richmond, Virginia",20384359.29596745
51,"Greensville, Virginia",270334.1604847789
52,"Charles City, Virginia",3038.1531499535877
53,"Radford (city), Virginia",322721.7248593408
54,"Cumberland, Virginia",18612.94779386844
55,"Warren, Virginia",2422852.0239358754
56,"Brunswick, Virginia",48364.197728997075
57,"Page, Virginia",204727.37364681205
58,"Charlotte, Virginia",47641.54028291882
59,"Highland, Virginia",71.56027883697496
60,"Giles, Virginia",216808.72117410216
61,"New Kent, Virginia",25568.221487698764
62,"Pulaski, Virginia",845194.0212337336
63,"Caroline, Virginia",176437.88839716697
64,"Virginia Beach (city), Virginia",4305871.781404433
65,"Bedford, Virginia",1647167.891847848
66,"Pittsylvania, Virginia",689010.4778540316
67,"Prince William, Virginia",4779352.85475396
68,"Botetourt, Virginia",127392.52367460253
69,"Isle of Wight, Virginia",215552.44816180947
70,"Goochland, Virginia",8737.600638872102
71,"Frederick, Virginia",725690.8787620497
72,"Bland, Virginia",20777.59756896337
73,"Hanover, Virginia",2973832.612817365
74,"Chesapeake (city), Virginia",2642964.3487503547
75,"Essex, Virginia",79847.24680304718
76,"Sussex, Virginia",213912.3156370262
77,"Madison, Virginia",20514.78683137005
78,"Middlesex, Virginia",36979.84693644727
79,"Bath, Virginia",5967.72469978946
80,"Arlington, Virginia",2697650.4973956314
81,"Nottoway, Virginia",67249.6397950277
82,"Greene, Virginia",72414.3649272481
83,"Covington (city), Virginia",8.627949723939981
84,"Tazewell, Virginia",74735164.74150686
85,"Charlottesville (city), Virginia",726535.3423078929
86,"Craig, Virginia",35861.0171660619
87,"Alleghany, Virginia",901131.5038961559
