year,loc_x,loc_y,estm_count
0,-80.4405,37.0675,678
1,-80.4405,37.0675,672
2,-80.4405,37.0675,710
3,-80.4405,37.0675,855
4,-80.4405,37.0675,789
5,-80.4405,37.0675,861
6,-80.4405,37.0675,975
7,-80.4405,37.0675,1076
0,-77.9267,37.5427,381
1,-77.9267,37.5427,214
2,-77.9267,37.5427,89
3,-77.9267,37.5427,94
4,-77.9267,37.5427,69
5,-77.9267,37.5427,41
6,-77.9267,37.5427,78
7,-77.9267,37.5427,200
0,-79.5431,37.6301,164
1,-79.5431,37.6301,167
2,-79.5431,37.6301,190
3,-79.5431,37.6301,274
4,-79.5431,37.6301,248
5,-79.5431,37.6301,235
6,-79.5431,37.6301,270
7,-79.5431,37.6301,343
0,-77.4322,37.6274,1161
1,-77.4322,37.6274,1201
2,-77.4322,37.6274,1243
3,-77.4322,37.6274,1283
4,-77.4322,37.6274,1464
5,-77.4322,37.6274,1510
6,-77.4322,37.6274,1918
7,-77.4322,37.6274,2031
0,-77.4448,38.7717,48
1,-77.4448,38.7717,54
2,-77.4448,38.7717,198
3,-77.4448,38.7717,130
4,-77.4448,38.7717,9
5,-77.4448,38.7717,12
6,-77.4448,38.7717,30
7,-77.4448,38.7717,-10
0,-82.3763,37.1026,124
1,-82.3763,37.1026,97
2,-82.3763,37.1026,115
3,-82.3763,37.1026,102
4,-82.3763,37.1026,116
5,-82.3763,37.1026,102
6,-82.3763,37.1026,126
7,-82.3763,37.1026,200
0,-76.3477,37.8832,91
1,-76.3477,37.8832,35
2,-76.3477,37.8832,22
3,-76.3477,37.8832,27
4,-76.3477,37.8832,41
5,-76.3477,37.8832,81
6,-76.3477,37.8832,121
7,-76.3477,37.8832,138
0,-77.1579,38.8514,1611
1,-77.1579,38.8514,1204
2,-77.1579,38.8514,6120
3,-77.1579,38.8514,8038
4,-77.1579,38.8514,2204
5,-77.1579,38.8514,1181
6,-77.1579,38.8514,1564
7,-77.1579,38.8514,5148
0,-78.7284,36.839,333
1,-78.7284,36.839,253
2,-78.7284,36.839,387
3,-78.7284,36.839,336
4,-78.7284,36.839,254
5,-78.7284,36.839,223
6,-78.7284,36.839,221
7,-78.7284,36.839,226
0,-78.1638,37.7533,71
1,-78.1638,37.7533,99
2,-78.1638,37.7533,95
3,-78.1638,37.7533,60
4,-78.1638,37.7533,27
5,-78.1638,37.7533,22
6,-78.1638,37.7533,60
7,-78.1638,37.7533,92
0,-79.0087,38.1939,521
1,-79.0087,38.1939,390
2,-79.0087,38.1939,479
3,-79.0087,38.1939,290
4,-79.0087,38.1939,230
5,-79.0087,38.1939,132
6,-79.0087,38.1939,386
7,-79.0087,38.1939,312
0,-77.4655,38.3319,674
1,-77.4655,38.3319,1562
2,-77.4655,38.3319,418
3,-77.4655,38.3319,185
4,-77.4655,38.3319,207
