经度,纬度,年份,数目,地名
38.8559,-83.4713,2010,9,"Adams, Dunkinsville"
40.9214,-82.2818,2010,45,"Ashland, Nankin"
40.9214,-82.2818,2010,2,"Ashland, Nankin"
41.8567,-80.6173,2010,7,"Ashtabula, Kelloggsville"
41.8567,-80.6173,2010,21,"Ashtabula, Kelloggsville"
39.4005,-82.1261,2010,72,"Athens, Chauncey"
39.4005,-82.1261,2010,1,"Athens, Chauncey"
40.6513,-84.146,2010,35,"Auglaize, Cridersville"
40.6513,-84.146,2010,1,"Auglaize, Cridersville"
40.6513,-84.146,2010,2,"Auglaize, Cridersville"
38.8673,-83.7878,2010,1,"Brown, Russellville"
38.8673,-83.7878,2010,14,"Brown, Russellville"
39.3938,-84.5652,2010,15,"Butler, Hamilton"
39.3938,-84.5652,2010,80,"Butler, Hamilton"
40.5209,-81.0031,2010,2,"Carroll, Harlem Springs"
39.2325,-84.1532,2010,17,"Clermont, Goshen"
39.3224,-83.8109,2010,5,"Clinton, Martinsville"
40.8871,-80.675,2010,34,"Columbiana, Columbiana"
40.8871,-80.675,2010,1,"Columbiana, Columbiana"
40.7392,-82.7773,2010,3,"Crawford, Galion"
41.4948,-81.5348,2010,2,"Cuyahoga, University Heights"
41.4948,-81.5348,2010,251,"Cuyahoga, University Heights"
41.4948,-81.5348,2010,4,"Cuyahoga, University Heights"
41.3259,-84.2855,2010,2,"Defiance, Jewell"
41.3259,-84.2855,2010,9,"Defiance, Jewell"
40.1679,-83.08,2010,1,"Delaware, Powell"
41.4011,-82.808,2010,5,"Erie, Castalia"
41.4011,-82.808,2010,1,"Erie, Castalia"
40.8305,-84.0848,2010,51,"Allen, Cairo"
40.9214,-82.2818,2010,1,"Ashland, Nankin"
40.6513,-84.146,2010,4,"Auglaize, Cridersville"
40.1621,-81.1313,2010,1,"Belmont, Holloway"
38.8673,-83.7878,2010,5,"Brown, Russellville"
40.2174,-83.9635,2010,17,"Champaign, Rosewood"
39.2325,-84.1532,2010,2,"Clermont, Goshen"
39.3224,-83.8109,2010,2,"Clinton, Martinsville"
39.3224,-83.8109,2010,5,"Clinton, Martinsville"
40.2761,-81.7517,2010,2,"Coshocton, West Lafayette"
41.4948,-81.5348,2010,36,"Cuyahoga, University Heights"
40.2802,-84.6384,2010,2,"Darke, Rossburg"
40.1679,-83.08,2010,4,"Delaware, Powell"
41.4011,-82.808,2010,19,"Erie, Castalia"
41.4011,-82.808,2010,40,"Erie, Castalia"
41.4011,-82.808,2010,4,"Erie, Castalia"
41.1045,-82.6137,2010,186,"Huron, North Fairfield"
40.8305,-84.0848,2010,1,"Allen, Cairo"
40.8305,-84.0848,2010,2,"Allen, Cairo"
39.4005,-82.1261,2010,4,"Athens, Chauncey"
40.1621,-81.1313,2010,19,"Belmont, Holloway"
39.3938,-84.5652,2010,17,"Butler, Hamilton"
40.5209,-81.0031,2010,1,"Carroll, Harlem Springs"
40.2174,-83.9635,2010,1,"Champaign, Rosewood"
