经度,纬度,年份,数目,地名
40.2752,-76.8843,2010,3,"Dauphin, Harrisburg"
37.7892,-86.9805,2010,1,"Daviess, Ensor"
40.9214,-82.2818,2010,1,"Ashland, Nankin"
40.5989,-80.4738,2010,2,"Beaver, Hookstown"
40.1621,-81.1313,2010,1,"Belmont, Holloway"
40.1015,-74.8852,2010,13,"Bucks, West Bristol"
39.2325,-84.1532,2010,2,"Clermont, Goshen"
42.2134,-79.8333,2010,5,"Erie, North East"
38.8514,-77.1579,2010,5,"Fairfax, Lake Barcroft"
37.4487,-79.1058,2010,3,"Amherst, Madison Heights"
41.7606,-76.1763,2010,2,"Bradford, Stevensville"
36.9933,-78.601,2010,1,"Charlotte, Drakes Branch"
36.6778,-76.3024,2010,2,"Chesapeake (city), Chesapeake"
39.9639,-75.885,2010,5,"Chester, Pomeroy"
41.4948,-81.5348,2010,12,"Cuyahoga, University Heights"
41.8567,-80.6173,2010,3,"Ashtabula, Kelloggsville"
40.6864,-78.2272,2010,1,"Blair, Northwood"
39.3938,-84.5652,2010,3,"Butler, Hamilton"
37.506,-77.6492,2010,3,"Chesterfield, Midlothian"
41.3259,-84.2855,2010,12,"Defiance, Jewell"
39.894,-75.4338,2010,12,"Delaware, Glen Riddle"
38.041,-78.5222,2010,2,"Albemarle, University Heights"
38.9472,-84.6731,2010,1,"Boone, Union"
37.2473,-81.8015,2010,1,"Buchanan, Jewell Valley"
36.6771,-80.6997,2010,1,"Carroll, Fancy Gap"
38.8559,-83.4713,2010,3,"Adams, Dunkinsville"
38.8786,-77.1011,2010,3,"Arlington, Arlington"
38.8673,-83.7878,2010,1,"Brown, Russellville"
38.1059,-84.5255,2010,5,"Fayette, Greendale"
40.8305,-84.0848,2010,2,"Allen, Cairo"
37.1464,-83.7635,2010,1,"Clay, Manchester"
41.4011,-82.808,2010,3,"Erie, Castalia"
41.1045,-82.6137,2010,1,"Huron, North Fairfield"
40.4001,-80.1873,2010,2,"Allegheny, Oakdale"
36.5942,-83.8774,2010,1,"Bell, Fonde"
40.98,-77.7057,2010,1,"Centre, Mount Eagle"
40.1679,-83.08,2010,3,"Delaware, Powell"
41.5726,-78.6869,2010,1,"Elk, Wilcox"
37.451,-82.7994,2010,1,"Floyd, Wayland"
37.0379,-80.2045,2010,1,"Floyd, Simpsons"
38.3228,-84.8955,2010,2,"Franklin, Ottusville"
39.932,-77.9958,2010,1,"Fulton, McConnellsburg"
40.8064,-83.5114,2010,2,"Hardin, Forest"
40.337,-76.448,2010,1,"Lebanon, Pleasant Hill"
36.9052,-76.8978,2010,3,"Southampton, Ivor"
37.6274,-77.4322,2010,3,"Henrico, Chamberlayne Heights"
38.2907,-85.6333,2010,25,"Jefferson, Glenview Manor"
39.0338,-84.5675,2010,2,"Kenton, Lakeside Park"
39.8665,-83.0703,2010,3,"Franklin, Grove City"
36.8293,-79.9917,2010,2,"Franklin, Henry"
36.839,-78.7284,2010,1,"Halifax, Clover"
40.9348,-83.8235,2010,5,"Hancock, Mount Cory"
37.7668,-77.3706,2010,1,"Hanover, Hanover"
40.4007,-83.5444,2010,3,"Logan, West Mansfield"
40.5321,-83.2077,2010,1,"Marion, Green Camp"
38.7054,-83.9191,2010,2,"Mason, Minerva"
39.264,-78.3319,2010,1,"Frederick, Gore"
38.7326,-84.5966,2010,1,"Grant, Sherman"
39.6598,-83.7431,2010,1,"Greene, Jamestown"
36.8155,-83.4045,2010,2,"Harlan, South Wallins"
38.486,-81.3502,2010,2,"Kanawha, Clendenin"
40.6666,-75.5072,2010,1,"Lehigh, Stiles"
39.0302,-77.4712,2010,6,"Loudoun, Ashburn"
39.3923,-80.2989,2010,2,"Harrison, Shinnston"
39.0747,-83.3871,2010,3,"Highland, Sinking Spring"
40.9702,-78.8765,2010,1,"Jefferson, Big Run"
39.832,-76.3275,2010,3,"Lancaster, Holtwood"
40.0903,-79.5872,2010,2,"Fayette, Everson"
38.4949,-82.6911,2010,1,"Greenup, Bellefonte"
38.5426,-84.2366,2010,2,"Harrison, Sunrise"
41.4884,-82.0978,2010,4,"Lorain, Sheffield Lake"
39.6522,-83.5564,2010,1,"Fayette, Jeffersonville"
39.7243,-77.515,2010,2,"Franklin, Pen Mar"
39.1864,-84.763,2010,26,"Hamilton, Hooven"
37.8193,-85.9358,2010,1,"Hardin, Radcliff"
36.8293,-79.9917,2010,2,"Franklin, Henry"
39.1117,-82.6108,2010,1,"Jackson, Coalton"
37.0037,-84.161,2010,2,"Laurel, Keavy"
39.9595,-82.4129,2010,1,"Licking, Jacksontown"
41.3338,-75.8214,2010,1,"Luzerne, Exeter"
41.3265,-76.9455,2010,3,"Lycoming, Warrensville"
41.6639,-83.582,2010,5,"Lucas, Toledo"
37.4004,-79.1911,2010,2,"Lynchburg (city), Lynchburg"
41.177,-75.418,2010,2,"Monroe, Tobyhanna"
37.2042,-77.3914,2010,1,"Petersburg (city), Petersburg"
37.1745,-84.6329,2010,1,"Pulaski, Science Hill"
36.6827,-79.8636,2010,2,"Martinsville (city), Martinsville"
41.0348,-82.0122,2010,2,"Medina, Lodi"
36.9342,-80.7255,2010,1,"Pulaski, Allisonia"
36.7588,-78.7914,2010,3,"Halifax, Scottsburg"
41.2162,-83.3285,2010,1,"Seneca, Amsden"
39.0551,-78.3681,2010,1,"Shenandoah, Lebanon Church"
40.9207,-81.0231,2010,6,"Mahoning, Sebring"
37.1052,-76.5185,2010,2,"Newport News (city), Newport News"
40.8565,-76.235,2010,1,"Schuylkill, Ringtown"
41.1572,-80.0893,2010,2,"Mercer, Grove City"
36.8945,-76.259,2010,2,"Norfolk (city), Norfolk"
41.9207,-78.0205,2010,2,"Potter, Oswayo"
37.1229,-80.5583,2010,1,"Radford (city), Radford"
37.9501,-76.6625,2010,6,"Richmond, Haynesville"
41.388,-83.3218,2010,1,"Sandusky, Gibsonburg"
40.8159,-81.4165,2010,4,"Stark, Meyers Lake"
39.7927,-84.3165,2010,7,"Montgomery, Trotwood"
40.0076,-75.134,2010,286,"Philadelphia, Philadelphia"
39.554,-82.7779,2010,2,"Pickaway, Tarlton"
39.4069,-83.1842,2010,2,"Ross, Frankfort"
37.1909,-81.6387,2010,1,"Tazewell, Amonate"
38.9231,-78.1033,2010,1,"Warren, Apple Mountain Lake"
38.6823,-77.2604,2010,3,"Prince William, Occoquan"
38.6562,-78.2322,2010,3,"Rappahannock, Sperryville"
38.7383,-82.842,2010,2,"Scioto, Wheelersburg"
