经度,纬度,年份,数目,地名
38.8184,-77.0861,2010,5,"Alexandria (city), Alexandria"
37.3366,-77.9882,2010,1,"Amelia, Amelia Court House"
38.8786,-77.1011,2010,41,"Arlington, Arlington"
39.4005,-82.1261,2010,72,"Athens, Chauncey"
40.6513,-84.146,2010,35,"Auglaize, Cridersville"
38.8673,-83.7878,2010,14,"Brown, Russellville"
37.494,-78.6333,2010,1,"Buckingham, Toga"
41.4148,-78.1989,2010,1,"Cameron, Sterling Run"
40.8289,-75.7009,2010,20,"Carbon, Weissport"
38.6098,-85.0681,2010,8,"Carroll, Worthville"
39.9639,-75.885,2010,95,"Chester, Pomeroy"
41.2106,-79.3803,2010,35,"Clarion, Clarion"
41.0177,-76.4969,2010,29,"Columbia, Buckhorn"
40.8871,-80.675,2010,34,"Columbiana, Columbiana"
39.458,-77.9779,2010,146,"Berkeley, Martinsburg"
38.9472,-84.6731,2010,47,"Boone, Union"
38.3354,-82.7816,2010,5,"Boyd, Rush"
37.4215,-83.4585,2010,4,"Breathitt, Talbert"
38.1879,-83.0188,2010,1,"Elliott, Bruin"
41.1045,-82.6137,2010,186,"Huron, North Fairfield"
38.041,-78.5222,2010,4,"Albemarle, University Heights"
40.3495,-76.1391,2010,172,"Berks, Robesonia"
40.1015,-74.8852,2010,618,"Bucks, West Bristol"
36.6771,-80.6997,2010,2,"Carroll, Fancy Gap"
40.2174,-83.9635,2010,37,"Champaign, Rosewood"
38.0374,-78.4856,2010,3,"Charlottesville (city), Charlottesville"
37.506,-77.6492,2010,69,"Chesterfield, Midlothian"
39.1508,-77.9823,2010,4,"Clarke, Berryville"
39.2325,-84.1532,2010,167,"Clermont, Goshen"
38.0842,-79.3842,2010,12,"Augusta, Craigsville"
40.7392,-82.7773,2010,48,"Crawford, Galion"
37.6674,-78.0883,2010,2,"Cumberland, Cartersville"
38.8559,-83.4713,2010,50,"Adams, Dunkinsville"
37.4487,-79.1058,2010,7,"Amherst, Madison Heights"
40.9214,-82.2818,2010,82,"Ashland, Nankin"
36.5942,-83.8774,2010,2,"Bell, Fonde"
38.6818,-84.0666,2010,1,"Bracken, Brooksville"
40.9505,-79.74,2010,49,"Butler, Chicora"
40.4111,-78.8446,2010,57,"Cambria, Vinco"
41.4948,-81.5348,2010,462,"Cuyahoga, University Heights"
39.8826,-77.1569,2010,14,"Adams, Hunterstown"
40.8305,-84.0848,2010,43,"Allen, Cairo"
40.5989,-80.4738,2010,87,"Beaver, Hookstown"
40.6864,-78.2272,2010,103,"Blair, Northwood"
38.4154,-82.3188,2010,23,"Cabell, Pea Ridge"
36.6778,-76.3024,2010,119,"Chesapeake (city), Chesapeake"
41.1062,-78.7749,2010,29,"Clearfield, Sandy"
41.0094,-77.5306,2010,8,"Clinton, Lamar"
38.416,-77.8267,2010,18,"Culpeper, Lignum"
41.4011,-82.808,2010,30,"Erie, Castalia"
41.8567,-80.6173,2010,26,"Ashtabula, Kelloggsville"
40.2592,-78.5075,2010,34,"Bedford, Queen"
37.4167,-79.8779,2010,20,"Botetourt, Troutville"
41.7606,-76.1763,2010,33,"Bradford, Stevensville"
36.8553,-77.8937,2010,4,"Brunswick, Alberta"
38.0533,-77.3473,2010,5,"Caroline, Bowling Green"
38.3318,-82.9371,2010,1,"Carter, Grayson"
39.8862,-84.0243,2010,26,"Clark, Crystal Lakes"
39.3224,-83.8109,2010,68,"Clinton, Martinsville"
41.5726,-78.6869,2010,2,"Elk, Wilcox"
38.1059,-84.5255,2010,32,"Fayette, Greendale"
40.9185,-79.4603,2010,96,"Armstrong, Templeton"
38.2565,-76.9784,2010,13,"Westmoreland, Colonial Beach"
40.1679,-83.08,2010,1123,"Delaware, Powell"
36.6953,-77.5356,2010,3,"Emporia (city), Emporia"
42.2134,-79.8333,2010,62,"Erie, North East"
40.4001,-80.1873,2010,2592,"Allegheny, Oakdale"
37.3866,-79.7253,2010,3,"Bedford, Montvale"
39.3938,-84.5652,2010,223,"Butler, Hamilton"
39.0401,-84.4815,2010,86,"Campbell, Wilder"
40.98,-77.7057,2010,23,"Centre, Mount Eagle"
41.8176,-79.8364,2010,6,"Crawford, Canadohta Lake"
40.2422,-76.9274,2010,32,"Cumberland, Camp Hill"
36.5831,-79.4088,2010,3,"Danville (city), Danville"
40.2802,-84.6384,2010,20,"Darke, Rossburg"
40.2752,-76.8843,2010,266,"Dauphin, Harrisburg"
41.3259,-84.2855,2010,24,"Defiance, Jewell"
39.894,-75.4338,2010,344,"Delaware, Glen Riddle"
39.6522,-83.5564,2010,8,"Fayette, Jeffersonville"
40.0903,-79.5872,2010,67,"Fayette, Everson"
37.7533,-78.1638,2010,1,"Fluvanna, Columbia"
39.7243,-77.515,2010,41,"Franklin, Pen Mar"
39.2711,-79.3662,2010,2,"Grant, Bayard"
39.1864,-84.763,2010,1917,"Hamilton, Hooven"
41.2508,-82.4915,2010,38,"Huron, Collins"
39.9595,-82.4129,2010,175,"Licking, Jacksontown"
39.0302,-77.4712,2010,39,"Loudoun, Ashburn"
38.0068,-77.9061,2010,5,"Louisa, Mineral"
38.8514,-77.1579,2010,20,"Fairfax, Lake Barcroft"
37.2801,-76.4402,2010,13,"Gloucester, Achilles"
36.816,-77.4689,2010,1,"Greensville, Jarratt"
40.6179,-80.5998,2010,79,"Hancock, Newell"
37.1737,-87.6885,2010,1,"Hopkins, Dawson Springs"
40.6783,-79.1646,2010,159,"Indiana, Ernest"
39.1117,-82.6108,2010,35,"Jackson, Coalton"
39.6522,-83.5564,2010,13,"Fayette, Jeffersonville"
38.486,-81.3502,2010,72,"Kanawha, Clendenin"
37.494,-78.6333,2010,5,"Buckingham, Toga"
40.6666,-75.5072,2010,346,"Lehigh, Stiles"
38.7326,-84.5966,2010,3,"Grant, Sherman"
40.9702,-78.8765,2010,47,"Jefferson, Big Run"
39.0338,-84.5675,2010,216,"Kenton, Lakeside Park"
37.494,-78.6333,2010,3,"Buckingham, Toga"
41.4884,-82.0978,2010,193,"Lorain, Sheffield Lake"
39.832,-76.3275,2010,273,"Lancaster, Holtwood"
40.4007,-83.5444,2010,38,"Logan, West Mansfield"
37.4004,-79.1911,2010,19,"Lynchburg (city), Lynchburg"
39.5013,-80.1696,2010,100,"Marion, Barrackville"
40.4113,-84.7761,2010,28,"Mercer, Fort Recovery"
36.8293,-79.9917,2010,11,"Franklin, Henry"
38.4362,-78.8735,2010,4,"Harrisonburg (city), Harrisonburg"
41.371,-83.9415,2010,3,"Henry, McClure"
37.2914,-77.2985,2010,6,"Hopewell (city), Hopewell"
40.3821,-78.1697,2010,33,"Huntingdon, Marklesburg"
38.4298,-82.4488,2010,4,"Lawrence, Chesapeake"
40.337,-76.448,2010,41,"Lebanon, Pleasant Hill"
40.5321,-83.2077,2010,61,"Marion, Green Camp"
41.8694,-78.66,2010,3,"McKean, Lewis Run"
39.8665,-83.0703,2010,327,"Franklin, Grove City"
36.8293,-79.9917,2010,3,"Franklin, Henry"
40.0221,-81.5868,2010,14,"Guernsey, Cambridge"
36.9052,-76.8978,2010,41,"Southampton, Ivor"
39.3923,-80.2989,2010,35,"Harrison, Shinnston"
39.1907,-81.7495,2010,13,"Athens, Hockingport"
36.866,-76.8308,2010,1,"Isle of Wight, Zuni"
40.5855,-77.5782,2010,2,"Mifflin, Juniata Terrace"
38.8514,-77.1579,2010,102,"Fairfax, Lake Barcroft"
37.451,-82.7994,2010,1,"Floyd, Wayland"
39.264,-78.3319,2010,69,"Frederick, Gore"
38.2992,-77.4871,2010,8,"Fredericksburg (city), Fredericksburg"
41.3722,-81.0591,2010,6,"Geauga, Parkman"
37.6015,-77.7022,2010,2,"Goochland, Manakin"
39.6598,-83.7431,2010,88,"Greene, Jamestown"
40.9348,-83.8235,2010,32,"Hancock, Mount Cory"
37.7668,-77.3706,2010,39,"Hanover, Hanover"
40.8064,-83.5114,2010,113,"Hardin, Forest"
39.3242,-77.7517,2010,12,"Jefferson, Bolivar"
38.8648,-77.1878,2010,3,"Falls Church (city), West Falls Church"
38.6355,-77.6661,2010,33,"Fauquier, Calverton"
40.4792,-80.1303,2010,3,"Allegheny, Forest Grove"
38.3228,-84.8955,2010,15,"Franklin, Ottusville"
41.7113,-83.9053,2010,5,"Fulton, Metamora"
39.932,-77.9958,2010,2,"Fulton, McConnellsburg"
37.373,-80.8576,2010,1,"Giles, Glen Lyn"
38.8779,-78.8661,2010,3,"Hardy, Mathias"
37.6274,-77.4322,2010,129,"Henrico, Chamberlayne Heights"
