经度,纬度,年份,数目,地名
38.8514,-77.1579,2010,1,"Fairfax, Lake Barcroft"
40.0076,-75.134,2011,1,"Philadelphia, Philadelphia"
39.0302,-77.4712,2011,1,"Loudoun, Ashburn"
38.6823,-77.2604,2012,1,"Prince William, Occoquan"
38.8514,-77.1579,2013,14,"Fairfax, Lake Barcroft"
39.0302,-77.4712,2013,1,"Loudoun, Ashburn"
41.0245,-81.0501,2013,1,"Portage, Deerfield"
38.8514,-77.1579,2014,2,"Fairfax, Lake Barcroft"
39.0302,-77.4712,2014,1,"Loudoun, Ashburn"
36.666,-81.6382,2015,1,"Washington, Konnarock"
39.0302,-77.4712,2016,2,"Loudoun, Ashburn"
38.8514,-77.1579,2017,2,"Fairfax, Lake Barcroft"
39.0338,-84.5675,2017,1,"Kenton, Lakeside Park"
38.7717,-77.4448,2017,1,"Manassas Park (city), Manassas Park"
38.3319,-77.4655,2017,1,"Stafford, Falmouth"
