经度,纬度,年份,数目,地名
37.6917,-75.7182,2010,1,"Accomack, Onley"
38.8559,-83.4713,2010,9,"Adams, Dunkinsville"
39.8826,-77.1569,2010,2,"Adams, Hunterstown"
38.8184,-77.0861,2010,5,"Alexandria (city), Alexandria"
40.4001,-80.1873,2010,5,"Allegheny, Oakdale"
37.6119,-82.7291,2010,15,"Floyd, Allen City"
37.6119,-82.7291,2010,1,"Floyd, Allen City"
37.3366,-77.9882,2010,1,"Amelia, Amelia Court House"
38.8786,-77.1011,2010,41,"Arlington, Arlington"
40.9185,-79.4603,2010,1,"Armstrong, Templeton"
40.9214,-82.2818,2010,45,"Ashland, Nankin"
40.9214,-82.2818,2010,2,"Ashland, Nankin"
41.8567,-80.6173,2010,7,"Ashtabula, Kelloggsville"
41.8567,-80.6173,2010,21,"Ashtabula, Kelloggsville"
39.4005,-82.1261,2010,72,"Athens, Chauncey"
39.4005,-82.1261,2010,1,"Athens, Chauncey"
40.6513,-84.146,2010,35,"Auglaize, Cridersville"
40.6513,-84.146,2010,1,"Auglaize, Cridersville"
40.6513,-84.146,2010,2,"Auglaize, Cridersville"
38.9783,-79.9505,2010,1,"Barbour, Junior"
37.0048,-85.9264,2010,3,"Barren, Glasgow"
38.1193,-83.6156,2010,1,"Bath, Salt Lick"
38.1193,-83.6156,2010,7,"Bath, Salt Lick"
40.2592,-78.5075,2010,3,"Bedford, Queen"
37.3866,-79.7253,2010,1,"Bedford, Montvale"
36.5942,-83.8774,2010,148,"Bell, Fonde"
36.5942,-83.8774,2010,3,"Bell, Fonde"
39.458,-77.9779,2010,6,"Berkeley, Martinsburg"
40.3495,-76.1391,2010,5,"Berks, Robesonia"
37.1521,-81.1501,2010,1,"Bland, Bastian"
38.9472,-84.6731,2010,56,"Boone, Union"
37.9713,-81.7138,2010,1,"Boone, Van"
38.6818,-84.0666,2010,5,"Bracken, Brooksville"
38.5632,-80.8979,2010,35,"Braxton, Strange Creek"
37.4215,-83.4585,2010,13,"Breathitt, Talbert"
37.8312,-86.6304,2010,1,"Breckinridge, Cloverport"
38.8673,-83.7878,2010,1,"Brown, Russellville"
38.8673,-83.7878,2010,14,"Brown, Russellville"
37.494,-78.6333,2010,1,"Buckingham, Toga"
37.494,-78.6333,2010,2,"Buckingham, Toga"
40.1015,-74.8852,2010,5,"Bucks, West Bristol"
40.1015,-74.8852,2010,32,"Bucks, West Bristol"
38.0645,-85.7146,2010,2,"Bullitt, Brooks"
39.3938,-84.5652,2010,15,"Butler, Hamilton"
39.3938,-84.5652,2010,80,"Butler, Hamilton"
40.9505,-79.74,2010,9,"Butler, Chicora"
40.9505,-79.74,2010,2,"Butler, Chicora"
