纬度,经度,名称,数量
37.0675,-80.4405,Montgomery,4298
37.5427,-77.9267,Powhatan,61
37.6301,-79.5431,Rockbridge,51
37.6274,-77.4322,Henrico,1039
38.7717,-77.4448,Manassas Park (city),1
37.1026,-82.3763,Dickenson,113
37.9285,-79.3192,Rockbridge,0
37.8832,-76.3477,Northumberland,100
38.8514,-77.1579,Fairfax,845
36.839,-78.7284,Halifax,191
37.7533,-78.1638,Fluvanna,91
38.1939,-79.0087,Augusta,64
38.8531,-77.2998,Fairfax (city),0
38.3319,-77.4655,Stafford,403
36.7588,-78.7914,Halifax,0
39.0302,-77.4712,Loudoun,179
36.8615,-82.7774,Wise,135
37.4984,-76.2883,Mathews,4
37.2473,-81.8015,Buchanan,174
38.0673,-78.9012,Waynesboro (city),6
38.041,-78.5222,Albemarle,53
37.9957,-78.7222,Albemarle,0
36.6015,-81.6257,Grayson,42
37.913,-78.8828,Nelson,198
37.5199,-77.3771,Henrico,0
37.7825,-79.444,Lexington (city),0
37.1598,-82.3564,Dickenson,0
36.9791,-82.2961,Russell,101
36.9052,-76.8978,Southampton,54
38.0941,-76.8229,Westmoreland,450
37.9161,-78.9382,Nelson,0
36.7168,-80.3578,Patrick,29
36.8293,-79.9917,Franklin,3503
36.6871,-83.1152,Lee,96
37.2338,-79.2895,Campbell,743
36.7196,-82.7962,Scott,71
36.9853,-77.7219,Dinwiddie,16
36.6771,-80.6997,Carroll,108
37.9906,-79.5071,Rockbridge,0
37.6917,-75.7182,Accomack,18
37.5295,-75.8283,Northampton,106
37.7939,-78.7002,Nelson,0
36.9608,-78.1283,Lunenburg,8
36.9905,-79.6318,Franklin,0
37.7301,-76.538,Lancaster,1085
37.494,-78.6333,Buckingham,136
36.6871,-79.7872,Henry,20
37.7547,-75.7129,Accomack,0
38.416,-77.8267,Culpeper,189
39.1734,-78.1745,Winchester (city),25
36.8992,-82.0783,Russell,0
38.9187,-77.2311,Fairfax,0
37.576,-75.7593,Accomack,0
38.2484,-78.1125,Orange,77
37.506,-77.6492,Chesterfield,727
38.6355,-77.6661,Fauquier,138
38.6601,-78.9061,Rockingham,113
37.3366,-77.9882,Amelia,9
36.666,-78.3908,Mecklenburg,80
36.666,-81.6382,Washington,676
37.7118,-76.3834,Lancaster,0
36.8862,-81.192,Wythe,87
37.5501,-78.5556,Buckingham,0
39.135,-77.6641,Loudoun,0
39.0169,-77.5166,Loudoun,0
38.0068,-77.9061,Louisa,46
37.8929,-77.8969,Louisa,0
37.366,-76.3136,Mathews,0
38.1539,-78.5595,Albemarle,0
36.8622,-82.9161,Lee,0
36.9434,-82.1527,Russell,0
38.7942,-77.3358,Fairfax,0
37.4469,-77.442,Chesterfield,0
39.0551,-78.3681,Shenandoah,131
36.8021,-82.0268,Washington,0
36.6344,-80.1985,Patrick,0
37.6062,-75.6897,Accomack,0
36.6199,-80.0073,Henry,0
37.4874,-76.7077,King and Queen,0
38.0749,-78.4872,Albemarle,0
36.7944,-79.9392,Henry,0
36.7929,-81.5927,Smyth,116
36.5815,-80.6688,Carroll,0
37.9501,-76.6625,Richmond,116
36.816,-77.4689,Greensville,15
38.9944,-78.3541,Shenandoah,0
37.344,-77.0687,Charles City,1
38.7776,-77.113,Fairfax,0
37.1229,-80.5583,Radford (city),2
37.6826,-75.7591,Accomack,0
36.78,-81.828,Washington,0
37.6674,-78.0883,Cumberland,32
38.9231,-78.1033,Warren,651
37.5294,-77.4755,Richmond (city),0
38.0576,-78.5133,Albemarle,0
36.8553,-77.8937,Brunswick,12
38.6653,-78.4545,Page,61
38.9716,-77.7427,Loudoun,0
38.8391,-77.4388,Fairfax,0
37.9889,-78.9442,Augusta,0
36.9933,-78.601,Charlotte,12
37.8151,-76.3777,Northumberland,0
37.6549,-77.6201,Henrico,0
38.3282,-77.2423,King George,0
36.9585,-78.2683,Lunenburg,0
38.3237,-79.6403,Highland,105
36.801,-81.6835,Smyth,0
38.7358,-77.1993,Fairfax,0
37.7398,-75.6797,Accomack,0
37.373,-80.8576,Giles,48
36.5781,-79.8583,Henry,0
37.7905,-75.5819,Accomack,0
38.4115,-78.7269,Rockingham,0
37.2712,-79.0961,Campbell,0
37.4418,-77.0436,New Kent,0
36.5778,-77.1989,Southampton,0
37.7799,-75.6802,Accomack,0
38.4116,-79.5809,Highland,0
36.8284,-82.4683,Scott,0
38.3257,-77.7258,Orange,0
36.9342,-80.7255,Pulaski,225
36.667,-83.3753,Lee,0
38.0533,-77.3473,Caroline,69
37.8433,-75.5689,Accomack,0
36.7585,-78.989,Halifax,0
36.7335,-76.0435,Virginia Beach (city),34
38.9469,-78.4397,Shenandoah,0
37.6039,-75.8437,Accomack,0
37.2164,-80.2245,Montgomery,0
38.1362,-78.1877,Orange,0
37.3866,-79.7253,Bedford,159
36.6716,-79.4196,Pittsylvania,42
38.6823,-77.2604,Prince William,728
38.0842,-79.3842,Augusta,0
38.9699,-77.3867,Fairfax,0
37.4167,-79.8779,Botetourt,56
38.0105,-75.3869,Accomack,0
36.866,-76.8308,Isle of Wight,39
37.6015,-77.7022,Goochland,17
38.3357,-79.4906,Highland,0
37.6346,-79.4514,Rockbridge,0
38.7534,-77.132,Fairfax,0
38.6341,-78.7729,Rockingham,0
37.2943,-78.0942,Amelia,0
39.0517,-77.4125,Loudoun,0
38.3601,-78.9413,Rockingham,0
36.7899,-80.2773,Patrick,0
37.6407,-79.8012,Botetourt,0
36.8557,-78.9089,Halifax,0
36.9532,-82.7913,Wise,0
36.779,-77.7775,Brunswick,0
37.6744,-78.8929,Nelson,0
36.9394,-76.5264,Isle of Wight,0
39.264,-78.3319,Frederick,199
38.0193,-76.6491,Westmoreland,0
37.1521,-81.1501,Bland,6
38.4221,-77.4083,Stafford,0
37.7668,-77.3706,Hanover,289
37.4216,-77.6783,Chesterfield,0
36.9182,-78.4861,Lunenburg,0
38.108,-79.3352,Augusta,0
36.6778,-76.3024,Chesapeake (city),79
37.7671,-75.6054,Accomack,0
38.9325,-78.4615,Shenandoah,0
37.9185,-76.8665,Essex,4
36.8457,-77.2875,Sussex,17
38.7495,-77.7151,Fauquier,0
38.4879,-78.3261,Madison,508
38.8896,-77.2056,Fairfax,0
37.6395,-76.5747,Middlesex,17
37.215,-82.2931,Dickenson,0
36.5463,-78.7755,Halifax,0
36.5896,-81.3365,Grayson,0
39.1319,-77.7681,Loudoun,0
38.1948,-79.5709,Bath,40
37.7816,-75.6636,Accomack,0
38.654,-77.637,Fauquier,0
36.576,-77.984,Brunswick,0
36.9451,-82.469,Wise,0
36.7615,-79.9865,Henry,0
39.1378,-77.7109,Loudoun,0
38.8786,-77.1011,Arlington,211
37.0821,-78.0029,Nottoway,12
37.1408,-80.5929,Pulaski,0
38.2504,-78.4417,Greene,502
36.7512,-79.9521,Henry,0
36.9096,-82.7881,Wise,0
37.92,-76.4785,Northumberland,0
37.7786,-79.9868,Covington (city),1
37.1909,-81.6387,Tazewell,349
38.0374,-78.4856,Charlottesville (city),17
36.901,-81.2764,Wythe,0
37.2359,-82.096,Buchanan,0
36.9753,-76.6162,Isle of Wight,0
37.921,-78.3295,Fluvanna,0
36.6981,-79.8994,Henry,0
38.7771,-77.2268,Fairfax,0
37.034,-77.0956,Sussex,0
37.4293,-80.1395,Craig,0
37.1879,-78.2012,Nottoway,0
36.6529,-82.1279,Washington,0
38.9106,-77.6638,Prince William,0
37.8865,-79.9795,Alleghany,74
37.7604,-75.6658,Accomack,0
37.127,-81.513,Tazewell,0
36.937,-76.5842,Isle of Wight,0
37.1176,-78.6492,Charlotte,0
37.8284,-78.5959,Albemarle,0
39.2739,-77.6392,Loudoun,0
36.8128,-81.6294,Smyth,0
38.3876,-77.3797,Stafford,0
37.2801,-76.4402,Gloucester,59
37.9979,-76.4627,Northumberland,0
37.1156,-79.9514,Franklin,0
36.8674,-81.3992,Smyth,0
36.8945,-76.259,Norfolk (city),80
37.5556,-75.8259,Accomack,0
38.0176,-77.5153,Caroline,0
36.5882,-76.6847,Suffolk (city),12
39.0288,-78.2781,Frederick,0
38.1091,-78.0236,Louisa,0
38.6111,-77.34,Prince William,0
38.567,-77.3234,Prince William,0
36.6411,-80.2689,Patrick,0
39.1508,-77.9823,Clarke,12
37.0811,-77.3563,Prince George,0
37.346,-77.7194,Chesterfield,0
36.7287,-80.999,Grayson,0
37.9751,-79.6028,Bath,0
