经度,纬度,名称,数量
37.0675,-80.4405,Montgomery,35759
37.5427,-77.9267,Powhatan,264
37.6301,-79.5431,Rockbridge,4499
37.6274,-77.4322,Henrico,6786
38.7717,-77.4448,Manassas Park (city),58
37.1026,-82.3763,Dickenson,550
37.9285,-79.3192,Rockbridge,0
37.8832,-76.3477,Northumberland,1442
38.8514,-77.1579,Fairfax,15596
36.839,-78.7284,Halifax,2533
37.7533,-78.1638,Fluvanna,1165
38.1939,-79.0087,Augusta,475
38.8531,-77.2998,Fairfax (city),0
38.3319,-77.4655,Stafford,2291
36.7588,-78.7914,Halifax,0
39.0302,-77.4712,Loudoun,45607
36.8615,-82.7774,Wise,2136
37.4984,-76.2883,Mathews,131
37.2473,-81.8015,Buchanan,1080
38.0673,-78.9012,Waynesboro (city),2669
38.041,-78.5222,Albemarle,1016
37.9957,-78.7222,Albemarle,0
36.6015,-81.6257,Grayson,421
37.913,-78.8828,Nelson,618
37.5199,-77.3771,Henrico,0
37.7825,-79.444,Lexington (city),8
37.1598,-82.3564,Dickenson,0
36.9791,-82.2961,Russell,3328
36.9052,-76.8978,Southampton,465
38.0941,-76.8229,Westmoreland,7093
37.9161,-78.9382,Nelson,0
36.7168,-80.3578,Patrick,347
36.8293,-79.9917,Franklin,23680
36.6871,-83.1152,Lee,945
37.2338,-79.2895,Campbell,6218
36.7196,-82.7962,Scott,0
36.9853,-77.7219,Dinwiddie,88
36.6771,-80.6997,Carroll,1615
37.9906,-79.5071,Rockbridge,0
37.6917,-75.7182,Accomack,181
37.5295,-75.8283,Northampton,1862
37.7939,-78.7002,Nelson,0
36.9608,-78.1283,Lunenburg,94
36.9905,-79.6318,Franklin,0
37.7301,-76.538,Lancaster,4688
37.494,-78.6333,Buckingham,773
36.6871,-79.7872,Henry,1667
37.7547,-75.7129,Accomack,0
38.416,-77.8267,Culpeper,16580
39.1734,-78.1745,Winchester (city),3570
36.8992,-82.0783,Russell,0
38.9187,-77.2311,Fairfax,0
37.576,-75.7593,Accomack,0
38.2484,-78.1125,Orange,472
37.506,-77.6492,Chesterfield,6543
38.6355,-77.6661,Fauquier,1913
38.6601,-78.9061,Rockingham,2792
37.3366,-77.9882,Amelia,83
36.666,-78.3908,Mecklenburg,2281
36.666,-81.6382,Washington,4953
37.7118,-76.3834,Lancaster,0
36.8862,-81.192,Wythe,1187
