经度,纬度,Year,Amount,Name
38.8184,-77.0861,2010,5,Alexandria (city)/Virginia
37.3366,-77.9882,2010,1,Amelia/Virginia
38.8786,-77.1011,2010,41,Arlington/Virginia
39.4005,-82.1261,2010,72,Athens/Ohio
40.6513,-84.146,2010,35,Auglaize/Ohio
38.8673,-83.7878,2010,14,Brown/Ohio
37.494,-78.6333,2010,9,Buckingham/Virginia
41.4148,-78.1989,2010,1,Cameron/Pennsylvania
40.8289,-75.7009,2010,20,Carbon/Pennsylvania
38.6098,-85.0681,2010,8,Carroll/Kentucky
39.9639,-75.885,2010,95,Chester/Pennsylvania
41.2106,-79.3803,2010,35,Clarion/Pennsylvania
41.0177,-76.4969,2010,29,Columbia/Pennsylvania
40.8871,-80.675,2010,34,Columbiana/Ohio
39.458,-77.9779,2010,146,Berkeley/West Virginia
38.9472,-84.6731,2010,47,Boone/Kentucky
38.3354,-82.7816,2010,5,Boyd/Kentucky
37.4215,-83.4585,2010,4,Breathitt/Kentucky
38.1879,-83.0188,2010,1,Elliott/Kentucky
39.8426,-82.5446,2010,186,Fairfield/Ohio
38.041,-78.5222,2010,4,Albemarle/Virginia
40.3495,-76.1391,2010,172,Berks/Pennsylvania
40.1015,-74.8852,2010,618,Bucks/Pennsylvania
36.6771,-80.6997,2010,2,Carroll/Virginia
40.2174,-83.9635,2010,37,Champaign/Ohio
38.0374,-78.4856,2010,3,Charlottesville (city)/Virginia
37.506,-77.6492,2010,69,Chesterfield/Virginia
39.1508,-77.9823,2010,4,Clarke/Virginia
39.2325,-84.1532,2010,167,Clermont/Ohio
37.4293,-80.1395,2010,12,Craig/Virginia
40.7392,-82.7773,2010,48,Crawford/Ohio
37.6674,-78.0883,2010,2,Cumberland/Virginia
38.8559,-83.4713,2010,50,Adams/Ohio
37.4487,-79.1058,2010,7,Amherst/Virginia
40.9214,-82.2818,2010,82,Ashland/Ohio
36.5942,-83.8774,2010,2,Bell/Kentucky
38.6818,-84.0666,2010,1,Bracken/Kentucky
40.9505,-79.74,2010,49,Butler/Pennsylvania
40.4111,-78.8446,2010,57,Cambria/Pennsylvania
41.4948,-81.5348,2010,462,Cuyahoga/Ohio
39.8826,-77.1569,2010,14,Adams/Pennsylvania
40.8305,-84.0848,2010,43,Allen/Ohio
40.5989,-80.4738,2010,87,Beaver/Pennsylvania
40.6864,-78.2272,2010,103,Blair/Pennsylvania
38.4154,-82.3188,2010,23,Cabell/West Virginia
36.6778,-76.3024,2010,119,Chesapeake (city)/Virginia
41.1062,-78.7749,2010,29,Clearfield/Pennsylvania
41.0094,-77.5306,2010,8,Clinton/Pennsylvania
38.416,-77.8267,2010,18,Culpeper/Virginia
41.4011,-82.808,2010,30,Erie/Ohio
41.8567,-80.6173,2010,26,Ashtabula/Ohio
40.2592,-78.5075,2010,34,Bedford/Pennsylvania
37.4167,-79.8779,2010,20,Botetourt/Virginia
41.7606,-76.1763,2010,33,Bradford/Pennsylvania
36.8553,-77.8937,2010,4,Brunswick/Virginia
38.0533,-77.3473,2010,5,Caroline/Virginia
38.3318,-82.9371,2010,1,Carter/Kentucky
39.8862,-84.0243,2010,26,Clark/Ohio
39.3224,-83.8109,2010,68,Clinton/Ohio
41.5726,-78.6869,2010,2,Elk/Pennsylvania
38.1059,-84.5255,2010,32,Fayette/Kentucky
40.9185,-79.4603,2010,96,Armstrong/Pennsylvania
37.265,-77.3969,2010,13,Colonial Heights (city)/Virginia
40.1679,-83.08,2010,1123,Delaware/Ohio
36.6953,-77.5356,2010,3,Emporia (city)/Virginia
42.2134,-79.8333,2010,62,Erie/Pennsylvania
40.4001,-80.1873,2010,2592,Allegheny/Pennsylvania
37.3866,-79.7253,2010,3,Bedford/Virginia
39.3938,-84.5652,2010,223,Butler/Ohio
39.0401,-84.4815,2010,86,Campbell/Kentucky
40.98,-77.7057,2010,23,Centre/Pennsylvania
41.8176,-79.8364,2010,6,Crawford/Pennsylvania
40.2422,-76.9274,2010,32,Cumberland/Pennsylvania
36.5831,-79.4088,2010,3,Danville (city)/Virginia
40.2802,-84.6384,2010,20,Darke/Ohio
40.2752,-76.8843,2010,266,Dauphin/Pennsylvania
41.3259,-84.2855,2010,24,Defiance/Ohio
39.894,-75.4338,2010,344,Delaware/Pennsylvania
39.6522,-83.5564,2010,8,Fayette/Ohio
40.0903,-79.5872,2010,67,Fayette/Pennsylvania
37.7533,-78.1638,2010,1,Fluvanna/Virginia
39.7243,-77.515,2010,41,Franklin/Pennsylvania
39.2711,-79.3662,2010,2,Grant/West Virginia
39.1864,-84.763,2010,1917,Hamilton/Ohio
41.2508,-82.4915,2010,38,Huron/Ohio
39.9595,-82.4129,2010,175,Licking/Ohio
39.0302,-77.4712,2010,39,Loudoun/Virginia
38.0068,-77.9061,2010,5,Louisa/Virginia
38.8514,-77.1579,2010,122,Fairfax/Virginia
37.2801,-76.4402,2010,13,Gloucester/Virginia
36.816,-77.4689,2010,1,Greensville/Virginia
40.6179,-80.5998,2010,79,Hancock/West Virginia
37.1737,-87.6885,2010,1,Hopkins/Kentucky
40.6783,-79.1646,2010,159,Indiana/Pennsylvania
39.1117,-82.6108,2010,35,Jackson/Ohio
40.3653,-80.652,2010,13,Jefferson/Ohio
38.486,-81.3502,2010,72,Kanawha/West Virginia
40.6666,-75.5072,2010,346,Lehigh/Pennsylvania
38.7326,-84.5966,2010,3,Grant/Kentucky
40.9702,-78.8765,2010,47,Jefferson/Pennsylvania
39.0338,-84.5675,2010,216,Kenton/Kentucky
41.6072,-81.469,2010,193,Lake/Ohio
39.832,-76.3275,2010,273,Lancaster/Pennsylvania
40.4007,-83.5444,2010,38,Logan/Ohio
37.4004,-79.1911,2010,19,Lynchburg (city)/Virginia
39.5013,-80.1696,2010,100,Marion/West Virginia
40.4113,-84.7761,2010,28,Mercer/Ohio
36.8293,-79.9917,2010,14,Franklin/Virginia
38.4362,-78.8735,2010,4,Harrisonburg (city)/Virginia
41.371,-83.9415,2010,3,Henry/Ohio
37.2914,-77.2985,2010,6,Hopewell (city)/Virginia
40.3821,-78.1697,2010,33,Huntingdon/Pennsylvania
38.4298,-82.4488,2010,4,Lawrence/Ohio
40.337,-76.448,2010,41,Lebanon/Pennsylvania
40.5321,-83.2077,2010,61,Marion/Ohio
41.8694,-78.66,2010,3,McKean/Pennsylvania
39.8665,-83.0703,2010,327,Franklin/Ohio
40.0221,-81.5868,2010,14,Guernsey/Ohio
36.9052,-76.8978,2010,45,Southampton/Virginia
39.3923,-80.2989,2010,35,Harrison/West Virginia
39.4187,-82.5993,2010,13,Hocking/Ohio
36.866,-76.8308,2010,1,Isle of Wight/Virginia
40.6868,-77.114,2010,2,Juniata/Pennsylvania
37.451,-82.7994,2010,1,Floyd/Kentucky
39.264,-78.3319,2010,69,Frederick/Virginia
38.2992,-77.4871,2010,8,Fredericksburg (city)/Virginia
41.3722,-81.0591,2010,6,Geauga/Ohio
37.6015,-77.7022,2010,2,Goochland/Virginia
39.6598,-83.7431,2010,88,Greene/Ohio
40.9348,-83.8235,2010,32,Hancock/Ohio
37.7668,-77.3706,2010,39,Hanover/Virginia
40.8064,-83.5114,2010,113,Hardin/Ohio
39.3242,-77.7517,2010,12,Jefferson/West Virginia
38.8648,-77.1878,2010,3,Falls Church (city)/Virginia
38.6355,-77.6661,2010,33,Fauquier/Virginia
41.4937,-79.448,2010,3,Forest/Pennsylvania
38.3228,-84.8955,2010,15,Franklin/Kentucky
41.7113,-83.9053,2010,5,Fulton/Ohio
39.932,-77.9958,2010,2,Fulton/Pennsylvania
37.373,-80.8576,2010,1,Giles/Virginia
38.8779,-78.8661,2010,3,Hardy/West Virginia
37.6274,-77.4322,2010,129,Henrico/Virginia
40.5533,-81.9164,2010,5,Holmes/Ohio
37.3799,-76.8041,2010,10,James City/Virginia
40.8618,-80.2625,2010,12,Lawrence/Pennsylvania
38.8862,-82.1463,2010,8,Gallia/Ohio
39.9476,-79.9986,2010,66,Greene/Pennsylvania
38.4949,-82.6911,2010,2,Greenup/Kentucky
39.0747,-83.3871,2010,92,Highland/Ohio
38.2907,-85.6333,2010,154,Jefferson/Kentucky
40.5342,-82.5049,2010,1,Knox/Ohio
41.4846,-75.666,2010,394,Lackawanna/Pennsylvania
40.9207,-81.0231,2010,358,Mahoning/Ohio
41.3128,-81.9157,2010,14,Lorain/Ohio
36.9608,-78.1283,2010,2,Lunenburg/Virginia
37.724,-84.2928,2010,2,Madison/Kentucky
39.9487,-83.2993,2010,41,Madison/Ohio
39.9854,-80.7335,2010,7,Marshall/West Virginia
39.0292,-82.034,2010,3,Meigs/Ohio
37.0675,-80.4405,2010,12,Montgomery/Virginia
40.9865,-76.635,2010,1,Montour/Pennsylvania
39.9037,-82.018,2010,1,Muskingum/Ohio
38.2001,-80.8512,2010,1,Nicholas/West Virginia
39.337,-78.9223,2010,29,Mineral/West Virginia
37.4418,-77.0436,2010,3,New Kent/Virginia
37.1052,-76.5185,2010,126,Newport News (city)/Virginia
40.0753,-80.6951,2010,27,Ohio/West Virginia
41.5853,-82.8369,2010,4,Ottawa/Ohio
38.6708,-84.3311,2010,1,Pendleton/Kentucky
39.921,-82.4271,2010,66,Perry/Ohio
