经度,纬度,Year,Amount,Name
37.6917,-75.7182,2010,9,Accomack/Virginia
38.8559,-83.4713,2010,265,Adams/Ohio
39.8826,-77.1569,2010,52,Adams/Pennsylvania
38.8184,-77.0861,2010,17,Alexandria (city)/Virginia
40.4001,-80.1873,2010,3415,Allegheny/Pennsylvania
36.7956,-86.2961,2010,30,Allen/Kentucky
37.3366,-77.9882,2010,8,Amelia/Virginia
38.8786,-77.1011,2010,112,Arlington/Virginia
40.9185,-79.4603,2010,124,Armstrong/Pennsylvania
40.9214,-82.2818,2010,171,Ashland/Ohio
41.8567,-80.6173,2010,104,Ashtabula/Ohio
39.4005,-82.1261,2010,267,Athens/Ohio
40.6513,-84.146,2010,55,Auglaize/Ohio
38.9783,-79.9505,2010,2,Barbour/West Virginia
37.0048,-85.9264,2010,62,Barren/Kentucky
38.1193,-83.6156,2010,52,Bath/Kentucky
40.2592,-78.5075,2010,46,Bedford/Pennsylvania
37.3866,-79.7253,2010,42,Bedford/Virginia
36.5942,-83.8774,2010,263,Bell/Kentucky
39.458,-77.9779,2010,173,Berkeley/West Virginia
40.3495,-76.1391,2010,223,Berks/Pennsylvania
37.1521,-81.1501,2010,12,Bland/Virginia
38.9472,-84.6731,2010,144,Boone/Kentucky
37.9713,-81.7138,2010,40,Boone/West Virginia
38.6818,-84.0666,2010,10,Bracken/Kentucky
38.5632,-80.8979,2010,61,Braxton/West Virginia
37.4215,-83.4585,2010,104,Breathitt/Kentucky
37.8312,-86.6304,2010,13,Breckinridge/Kentucky
38.8673,-83.7878,2010,86,Brown/Ohio
37.494,-78.6333,2010,61,Buckingham/Virginia
40.1015,-74.8852,2010,1421,Bucks/Pennsylvania
38.0645,-85.7146,2010,126,Bullitt/Kentucky
39.3938,-84.5652,2010,494,Butler/Ohio
40.9505,-79.74,2010,81,Butler/Pennsylvania
38.4154,-82.3188,2010,166,Cabell/West Virginia
38.8015,-81.0962,2010,3,Calhoun/West Virginia
40.4111,-78.8446,2010,154,Cambria/Pennsylvania
41.4148,-78.1989,2010,5,Cameron/Pennsylvania
40.8289,-75.7009,2010,35,Carbon/Pennsylvania
38.0533,-77.3473,2010,19,Caroline/Virginia
38.6098,-85.0681,2010,55,Carroll/Kentucky
40.5209,-81.0031,2010,12,Carroll/Ohio
38.3318,-82.9371,2010,239,Carter/Kentucky
37.4551,-84.9875,2010,57,Casey/Kentucky
38.0374,-78.4856,2010,14,Charlottesville (city)/Virginia
36.6778,-76.3024,2010,167,Chesapeake (city)/Virginia
39.9639,-75.885,2010,229,Chester/Pennsylvania
37.506,-77.6492,2010,217,Chesterfield/Virginia
37.12,-87.4875,2010,50,Christian/Kentucky
41.2106,-79.3803,2010,52,Clarion/Pennsylvania
41.1062,-78.7749,2010,72,Clearfield/Pennsylvania
39.2325,-84.1532,2010,349,Clermont/Ohio
39.3224,-83.8109,2010,138,Clinton/Ohio
37.265,-77.3969,2010,43,Colonial Heights (city)/Virginia
41.0177,-76.4969,2010,37,Columbia/Pennsylvania
40.8871,-80.675,2010,61,Columbiana/Ohio
40.7392,-82.7773,2010,81,Crawford/Ohio
41.8176,-79.8364,2010,59,Crawford/Pennsylvania
37.2198,-88.1411,2010,12,Crittenden/Kentucky
41.4948,-81.5348,2010,893,Cuyahoga/Ohio
36.5831,-79.4088,2010,42,Danville (city)/Virginia
40.2752,-76.8843,2010,369,Dauphin/Pennsylvania
37.7892,-86.9805,2010,38,Daviess/Kentucky
41.3259,-84.2855,2010,100,Defiance/Ohio
40.1679,-83.08,2010,1265,Delaware/Ohio
39.894,-75.4338,2010,919,Delaware/Pennsylvania
37.1026,-82.3763,2010,78,Dickenson/Virginia
39.1254,-80.7407,2010,8,Doddridge/West Virginia
41.4011,-82.808,2010,114,Erie/Ohio
42.2134,-79.8333,2010,203,Erie/Pennsylvania
37.9185,-76.8665,2010,5,Essex/Virginia
38.8514,-77.1579,2010,421,Fairfax/Virginia
